"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","2","4","3","489","0.6%","lower"
"X.ILI.ETR","East Tennessee Region","4","9","66","1472","4.5%","higher"
"X.ILI.JMR","Jackson-Madison County","1","1","28","695","4.0%",""
"X.ILI.KKR","Knoxville-Knox County","1","3","17","104","16.4%","higher"
"X.ILI.MCR","Mid-Cumberland Region","8","14","39","1093","3.6%",""
"X.ILI.MSR","Shelby County (Memphis)","1","4","0","154","0.0%","lower"
"X.ILI.NDR","Nashville-Davidson County","8","11","60","1672","3.6%",""
"X.ILI.NER","Northeast Region","4","5","21","250","8.4%","higher"
"X.ILI.SCR","South Central Region","3","3","3","161","1.9%",""
"X.ILI.SER","Southeast Region","4","4","9","424","2.1%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","0","308","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","4","284","1.4%",""
"X.ILI.WTR","West Tennessee Region","6","6","1","315","0.3%","lower"
