"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","0","700","0.0%",""
"X.ILI.ETR","East Tennessee Region","7","8","6","2739","0.2%","lower"
"X.ILI.JMR","Jackson-Madison County","1","1","12","460","2.6%","higher"
"X.ILI.KKR","Knoxville-Knox County","4","4","4","1462","0.3%",""
"X.ILI.MCR","Mid-Cumberland Region","9","9","3","1042","0.3%",""
"X.ILI.MSR","Shelby County (Memphis)","2","4","1","173","0.6%",""
"X.ILI.NDR","Nashville-Davidson County","4","6","20","879","2.3%","higher"
"X.ILI.NER","Northeast Region","2","3","0","178","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","225","0.0%",""
"X.ILI.SER","Southeast Region","4","4","2","795","0.3%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","0","461","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","5","1","728","0.1%",""
"X.ILI.WTR","West Tennessee Region","5","6","1","308","0.3%",""
