"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","2","4","11","345","3.2%",""
"X.ILI.ETR","East Tennessee Region","5","7","135","3920","3.4%",""
"X.ILI.JMR","Jackson-Madison County","1","1","21","1283","1.6%","lower"
"X.ILI.KKR","Knoxville-Knox County","3","5","41","1353","3.0%",""
"X.ILI.MCR","Mid-Cumberland Region","8","12","97","1574","6.2%","higher"
"X.ILI.MSR","Shelby County (Memphis)","2","4","3","617","0.5%","lower"
"X.ILI.NDR","Nashville-Davidson County","4","6","48","1647","2.9%",""
"X.ILI.NER","Northeast Region","1","3","1","355","0.3%","lower"
"X.ILI.SCR","South Central Region","3","3","4","288","1.4%",""
"X.ILI.SER","Southeast Region","3","5","26","510","5.1%","higher"
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","2","0","0","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","5","5","55","1325","4.2%",""
"X.ILI.WTR","West Tennessee Region","4","6","7","417","1.7%",""
