"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","2","4","0","380","0.0%","lower"
"X.ILI.ETR","East Tennessee Region","5","7","31","1586","2.0%",""
"X.ILI.JMR","Jackson-Madison County","1","1","15","527","2.9%","higher"
"X.ILI.KKR","Knoxville-Knox County","2","3","4","415","1.0%",""
"X.ILI.MCR","Mid-Cumberland Region","6","11","0","359","0.0%","lower"
"X.ILI.MSR","Shelby County (Memphis)","7","12","34","762","4.5%","higher"
"X.ILI.NDR","Nashville-Davidson County","3","6","0","197","0.0%",""
"X.ILI.NER","Northeast Region","3","4","0","273","0.0%","lower"
"X.ILI.SCR","South Central Region","3","3","0","181","0.0%",""
"X.ILI.SER","Southeast Region","3","4","0","45","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","1","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","4","4","0","521","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","5","6","0","172","0.0%",""
