"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","2","648","0.3%","lower"
"X.ILI.ETR","East Tennessee Region","4","7","51","1316","3.9%",""
"X.ILI.JMR","Jackson-Madison County","1","2","113","611","18.5%","higher"
"X.ILI.KKR","Knoxville-Knox County","2","3","22","946","2.3%",""
"X.ILI.MCR","Mid-Cumberland Region","7","11","0","379","0.0%","lower"
"X.ILI.MSR","Shelby County (Memphis)","8","12","7","839","0.8%","lower"
"X.ILI.NDR","Nashville-Davidson County","4","6","4","886","0.5%","lower"
"X.ILI.NER","Northeast Region","3","5","1","189","0.5%",""
"X.ILI.SCR","South Central Region","3","3","1","178","0.6%",""
"X.ILI.SER","Southeast Region","3","4","7","338","2.1%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","1","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","4","4","0","488","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","1","259","0.4%","lower"
