"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","3","555","0.5%","lower"
"X.ILI.ETR","East Tennessee Region","7","7","130","3071","4.2%","higher"
"X.ILI.JMR","Jackson-Madison County","1","1","16","514","3.1%",""
"X.ILI.KKR","Knoxville-Knox County","4","4","20","1614","1.2%","lower"
"X.ILI.MCR","Mid-Cumberland Region","8","10","26","1080","2.4%",""
"X.ILI.MSR","Shelby County (Memphis)","8","10","115","1465","7.8%","higher"
"X.ILI.NDR","Nashville-Davidson County","5","6","31","1313","2.4%",""
"X.ILI.NER","Northeast Region","2","3","1","187","0.5%",""
"X.ILI.SCR","South Central Region","2","3","0","124","0.0%",""
"X.ILI.SER","Southeast Region","4","5","4","461","0.9%","lower"
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","0","571","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","8","679","1.2%","lower"
"X.ILI.WTR","West Tennessee Region","5","6","3","305","1.0%","lower"
