"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","18","610","3.0%","lower"
"X.ILI.ETR","East Tennessee Region","5","9","175","1824","9.6%","higher"
"X.ILI.JMR","Jackson-Madison County","1","1","55","803","6.9%",""
"X.ILI.KKR","Knoxville-Knox County","2","3","18","574","3.1%","lower"
"X.ILI.MCR","Mid-Cumberland Region","7","14","34","878","3.9%","lower"
"X.ILI.MSR","Shelby County (Memphis)","2","4","5","192","2.6%",""
"X.ILI.NDR","Nashville-Davidson County","6","11","80","1048","7.6%","higher"
"X.ILI.NER","Northeast Region","5","5","25","491","5.1%",""
"X.ILI.SCR","South Central Region","3","3","1","228","0.4%","lower"
"X.ILI.SER","Southeast Region","3","4","28","437","6.4%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","7","363","1.9%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","8","452","1.8%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","4","408","1.0%","lower"
