"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","1","363","0.3%",""
"X.ILI.ETR","East Tennessee Region","7","8","8","1743","0.5%","lower"
"X.ILI.JMR","Jackson-Madison County","1","1","13","391","3.3%","higher"
"X.ILI.KKR","Knoxville-Knox County","4","4","0","437","0.0%","lower"
"X.ILI.MCR","Mid-Cumberland Region","4","9","0","119","0.0%",""
"X.ILI.MSR","Shelby County (Memphis)","0","6","0","0","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","4","6","20","585","3.4%","higher"
"X.ILI.NER","Northeast Region","2","2","0","239","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","198","0.0%",""
"X.ILI.SER","Southeast Region","3","4","2","141","1.4%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","0","200","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","3","5","1","189","0.5%",""
"X.ILI.WTR","West Tennessee Region","5","6","0","172","0.0%",""
