"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","10","335","3.0%","lower"
"X.ILI.ETR","East Tennessee Region","4","7","178","1280","13.9%","higher"
"X.ILI.JMR","Jackson-Madison County","1","1","12","262","4.6%","lower"
"X.ILI.KKR","Knoxville-Knox County","2","4","23","349","6.6%",""
"X.ILI.MCR","Mid-Cumberland Region","6","10","3","174","1.7%","lower"
"X.ILI.MSR","Shelby County (Memphis)","1","4","0","65","0.0%","lower"
"X.ILI.NDR","Nashville-Davidson County","1","5","25","96","26.0%","higher"
"X.ILI.NER","Northeast Region","2","3","0","75","0.0%","lower"
"X.ILI.SCR","South Central Region","3","3","0","93","0.0%","lower"
"X.ILI.SER","Southeast Region","2","5","1","42","2.4%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","58","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","3","4","2","187","1.1%","lower"
"X.ILI.WTR","West Tennessee Region","3","6","2","76","2.6%",""
