"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","0","692","0.0%",""
"X.ILI.ETR","East Tennessee Region","2","7","0","290","0.0%",""
"X.ILI.JMR","Jackson-Madison County","1","2","0","613","0.0%",""
"X.ILI.KKR","Knoxville-Knox County","2","4","0","761","0.0%",""
"X.ILI.MCR","Mid-Cumberland Region","9","11","0","908","0.0%",""
"X.ILI.MSR","Shelby County (Memphis)","10","12","1","917","0.1%",""
"X.ILI.NDR","Nashville-Davidson County","2","5","3","130","2.3%","higher"
"X.ILI.NER","Northeast Region","2","3","0","136","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","249","0.0%",""
"X.ILI.SER","Southeast Region","3","5","0","76","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","302","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","4","0","498","0.0%",""
"X.ILI.WTR","West Tennessee Region","5","6","0","210","0.0%",""
