"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","2","4","0","107","0.0%",""
"X.ILI.ETR","East Tennessee Region","5","7","25","1376","1.8%",""
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","2","3","4","432","0.9%",""
"X.ILI.MCR","Mid-Cumberland Region","7","11","2","638","0.3%","lower"
"X.ILI.MSR","Shelby County (Memphis)","7","12","36","677","5.3%","higher"
"X.ILI.NDR","Nashville-Davidson County","2","6","0","260","0.0%",""
"X.ILI.NER","Northeast Region","3","4","0","206","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","213","0.0%",""
"X.ILI.SER","Southeast Region","4","4","0","185","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","1","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","4","4","1","555","0.2%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","0","308","0.0%","lower"
