"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","5","0","307","0.0%",""
"X.ILI.ETR","East Tennessee Region","5","7","0","1533","0.0%",""
"X.ILI.JMR","Jackson-Madison County","1","1","1","838","0.1%",""
"X.ILI.KKR","Knoxville-Knox County","2","4","0","339","0.0%",""
"X.ILI.MCR","Mid-Cumberland Region","5","11","0","388","0.0%",""
"X.ILI.MSR","Shelby County (Memphis)","3","6","1","592","0.2%",""
"X.ILI.NDR","Nashville-Davidson County","4","6","2","616","0.3%","higher"
"X.ILI.NER","Northeast Region","2","3","0","224","0.0%",""
"X.ILI.SCR","South Central Region","2","3","0","167","0.0%",""
"X.ILI.SER","Southeast Region","4","4","0","413","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","230","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","5","5","0","438","0.0%",""
"X.ILI.WTR","West Tennessee Region","5","6","0","422","0.0%",""
