"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","5","2","537","0.4%",""
"X.ILI.ETR","East Tennessee Region","7","7","7","3839","0.2%","lower"
"X.ILI.JMR","Jackson-Madison County","1","1","21","779","2.7%","higher"
"X.ILI.KKR","Knoxville-Knox County","2","4","21","1195","1.8%","higher"
"X.ILI.MCR","Mid-Cumberland Region","7","12","19","1072","1.8%","higher"
"X.ILI.MSR","Shelby County (Memphis)","2","9","0","534","0.0%","lower"
"X.ILI.NDR","Nashville-Davidson County","6","6","47","1750","2.7%","higher"
"X.ILI.NER","Northeast Region","2","3","3","298","1.0%",""
"X.ILI.SCR","South Central Region","3","3","1","288","0.3%",""
"X.ILI.SER","Southeast Region","4","5","11","750","1.5%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","241","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","5","5","0","934","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","2","521","0.4%",""
