"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","2","678","0.3%","lower"
"X.ILI.ETR","East Tennessee Region","5","7","60","1839","3.3%",""
"X.ILI.JMR","Jackson-Madison County","1","2","114","623","18.3%","higher"
"X.ILI.KKR","Knoxville-Knox County","2","3","27","1140","2.4%",""
"X.ILI.MCR","Mid-Cumberland Region","9","11","2","549","0.4%","lower"
"X.ILI.MSR","Shelby County (Memphis)","8","12","4","1188","0.3%","lower"
"X.ILI.NDR","Nashville-Davidson County","3","6","4","325","1.2%",""
"X.ILI.NER","Northeast Region","3","5","1","165","0.6%",""
"X.ILI.SCR","South Central Region","3","3","1","160","0.6%",""
"X.ILI.SER","Southeast Region","4","4","5","354","1.4%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","1","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","4","4","2","469","0.4%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","0","220","0.0%","lower"
