"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","5","0","442","0.0%",""
"X.ILI.ETR","East Tennessee Region","7","7","3","4432","0.1%","lower"
"X.ILI.JMR","Jackson-Madison County","1","1","26","892","2.9%","higher"
"X.ILI.KKR","Knoxville-Knox County","3","4","3","909","0.3%",""
"X.ILI.MCR","Mid-Cumberland Region","9","10","4","1269","0.3%",""
"X.ILI.MSR","Shelby County (Memphis)","1","5","0","87","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","3","6","14","1117","1.3%","higher"
"X.ILI.NER","Northeast Region","3","3","0","558","0.0%",""
"X.ILI.SCR","South Central Region","3","3","4","289","1.4%","higher"
"X.ILI.SER","Southeast Region","3","4","0","466","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","242","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","5","5","0","924","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","5","6","1","331","0.3%",""
