"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","5","0","479","0.0%",""
"X.ILI.ETR","East Tennessee Region","5","7","0","2532","0.0%",""
"X.ILI.JMR","Jackson-Madison County","1","1","1","810","0.1%",""
"X.ILI.KKR","Knoxville-Knox County","3","4","0","1403","0.0%",""
"X.ILI.MCR","Mid-Cumberland Region","3","11","0","118","0.0%",""
"X.ILI.MSR","Shelby County (Memphis)","1","6","0","73","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","4","6","1","841","0.1%",""
"X.ILI.NER","Northeast Region","2","3","0","270","0.0%",""
"X.ILI.SCR","South Central Region","3","3","2","293","0.7%","higher"
"X.ILI.SER","Southeast Region","4","4","1","641","0.2%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","275","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","3","5","0","525","0.0%",""
"X.ILI.WTR","West Tennessee Region","5","6","0","550","0.0%",""
