"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","26","578","4.5%",""
"X.ILI.ETR","East Tennessee Region","6","7","158","3118","5.1%",""
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%",""
"X.ILI.KKR","Knoxville-Knox County","1","5","4","208","1.9%",""
"X.ILI.MCR","Mid-Cumberland Region","9","12","124","1823","6.8%","higher"
"X.ILI.MSR","Shelby County (Memphis)","2","2","5","648","0.8%","lower"
"X.ILI.NDR","Nashville-Davidson County","4","5","86","1628","5.3%",""
"X.ILI.NER","Northeast Region","2","3","3","658","0.5%","lower"
"X.ILI.SCR","South Central Region","1","3","0","109","0.0%","lower"
"X.ILI.SER","Southeast Region","4","5","46","821","5.6%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","5","83","6.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","5","35","1172","3.0%","lower"
"X.ILI.WTR","West Tennessee Region","4","6","7","285","2.5%",""
