"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","0","596","0.0%",""
"X.ILI.ETR","East Tennessee Region","6","7","6","2116","0.3%",""
"X.ILI.JMR","Jackson-Madison County","1","2","6","534","1.1%","higher"
"X.ILI.KKR","Knoxville-Knox County","1","4","2","1117","0.2%",""
"X.ILI.MCR","Mid-Cumberland Region","6","10","3","963","0.3%",""
"X.ILI.MSR","Shelby County (Memphis)","0","5","0","0","0.0%","n/a"
"X.ILI.NDR","Nashville-Davidson County","4","5","0","1231","0.0%",""
"X.ILI.NER","Northeast Region","2","3","0","175","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","228","0.0%",""
"X.ILI.SER","Southeast Region","5","5","2","800","0.3%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","166","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","3","4","0","364","0.0%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","248","0.0%",""
