"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","0","411","0.0%",""
"X.ILI.ETR","East Tennessee Region","5","7","1","987","0.1%",""
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","1","3","0","382","0.0%",""
"X.ILI.MCR","Mid-Cumberland Region","8","15","0","690","0.0%",""
"X.ILI.MSR","Shelby County (Memphis)","1","11","0","92","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","1","10","0","18","0.0%",""
"X.ILI.NER","Northeast Region","2","5","0","122","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","221","0.0%",""
"X.ILI.SER","Southeast Region","3","5","0","129","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","1","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","3","4","0","492","0.0%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","302","0.0%",""
