"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","0","493","0.0%",""
"X.ILI.ETR","East Tennessee Region","7","8","8","2271","0.4%","higher"
"X.ILI.JMR","Jackson-Madison County","0","2","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","3","4","0","1620","0.0%",""
"X.ILI.MCR","Mid-Cumberland Region","9","10","1","854","0.1%",""
"X.ILI.MSR","Shelby County (Memphis)","0","5","0","0","0.0%","n/a"
"X.ILI.NDR","Nashville-Davidson County","3","5","3","182","1.7%","higher"
"X.ILI.NER","Northeast Region","3","3","0","273","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","211","0.0%",""
"X.ILI.SER","Southeast Region","5","5","0","572","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","359","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","4","1","530","0.2%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","337","0.0%",""
