"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","5","5","0","513","0.0%",""
"X.ILI.ETR","East Tennessee Region","5","7","0","1791","0.0%",""
"X.ILI.JMR","Jackson-Madison County","1","1","3","905","0.3%","higher"
"X.ILI.KKR","Knoxville-Knox County","4","4","0","1097","0.0%",""
"X.ILI.MCR","Mid-Cumberland Region","7","11","0","495","0.0%",""
"X.ILI.MSR","Shelby County (Memphis)","3","9","0","712","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","4","6","3","840","0.4%","higher"
"X.ILI.NER","Northeast Region","2","3","1","290","0.3%",""
"X.ILI.SCR","South Central Region","3","3","0","300","0.0%",""
"X.ILI.SER","Southeast Region","4","5","1","501","0.2%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","201","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","5","0","641","0.0%",""
"X.ILI.WTR","West Tennessee Region","5","6","0","454","0.0%",""
