"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","11","619","1.8%","lower"
"X.ILI.ETR","East Tennessee Region","5","7","143","2260","6.3%",""
"X.ILI.JMR","Jackson-Madison County","1","1","284","781","36.4%","higher"
"X.ILI.KKR","Knoxville-Knox County","3","3","91","1864","4.9%","lower"
"X.ILI.MCR","Mid-Cumberland Region","7","15","53","1151","4.6%","lower"
"X.ILI.MSR","Shelby County (Memphis)","10","11","139","1465","9.5%","higher"
"X.ILI.NDR","Nashville-Davidson County","4","9","38","791","4.8%","lower"
"X.ILI.NER","Northeast Region","4","4","6","269","2.2%","lower"
"X.ILI.SCR","South Central Region","3","3","1","232","0.4%","lower"
"X.ILI.SER","Southeast Region","4","5","39","525","7.4%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","1","0","385","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","1","592","0.2%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","0","349","0.0%","lower"
