"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","2","4","0","432","0.0%",""
"X.ILI.ETR","East Tennessee Region","6","9","14","630","2.2%","higher"
"X.ILI.JMR","Jackson-Madison County","1","1","14","549","2.6%","higher"
"X.ILI.KKR","Knoxville-Knox County","1","3","3","72","4.2%","higher"
"X.ILI.MCR","Mid-Cumberland Region","7","14","0","886","0.0%","lower"
"X.ILI.MSR","Shelby County (Memphis)","1","4","0","147","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","5","11","1","889","0.1%","lower"
"X.ILI.NER","Northeast Region","2","5","0","126","0.0%",""
"X.ILI.SCR","South Central Region","2","3","0","66","0.0%",""
"X.ILI.SER","Southeast Region","2","4","0","179","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","431","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","4","1","395","0.3%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","352","0.0%",""
