"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","1","432","0.2%",""
"X.ILI.ETR","East Tennessee Region","8","8","43","1914","2.3%","higher"
"X.ILI.JMR","Jackson-Madison County","2","2","4","312","1.3%",""
"X.ILI.KKR","Knoxville-Knox County","4","4","5","962","0.5%",""
"X.ILI.MCR","Mid-Cumberland Region","8","10","1","368","0.3%",""
"X.ILI.MSR","Shelby County (Memphis)","0","5","0","0","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","3","6","7","245","2.9%","higher"
"X.ILI.NER","Northeast Region","3","3","1","126","0.8%",""
"X.ILI.SCR","South Central Region","2","3","0","58","0.0%",""
"X.ILI.SER","Southeast Region","5","5","0","456","0.0%","lower"
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","169","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","4","0","341","0.0%",""
"X.ILI.WTR","West Tennessee Region","5","6","0","143","0.0%",""
