"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","0","823","0.0%","lower"
"X.ILI.ETR","East Tennessee Region","4","7","15","1372","1.1%","higher"
"X.ILI.JMR","Jackson-Madison County","1","2","10","614","1.6%","higher"
"X.ILI.KKR","Knoxville-Knox County","3","4","12","1880","0.6%",""
"X.ILI.MCR","Mid-Cumberland Region","11","11","10","1354","0.7%",""
"X.ILI.MSR","Shelby County (Memphis)","7","12","10","980","1.0%",""
"X.ILI.NDR","Nashville-Davidson County","3","5","0","521","0.0%",""
"X.ILI.NER","Northeast Region","2","3","0","159","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","260","0.0%",""
"X.ILI.SER","Southeast Region","4","5","0","432","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","2","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","4","4","0","542","0.0%",""
"X.ILI.WTR","West Tennessee Region","4","6","0","199","0.0%",""
