"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","4","415","1.0%",""
"X.ILI.ETR","East Tennessee Region","6","7","112","2137","5.2%","higher"
"X.ILI.JMR","Jackson-Madison County","1","1","15","581","2.6%",""
"X.ILI.KKR","Knoxville-Knox County","4","4","13","1718","0.8%","lower"
"X.ILI.MCR","Mid-Cumberland Region","10","10","51","1244","4.1%","higher"
"X.ILI.MSR","Shelby County (Memphis)","3","10","10","871","1.1%","lower"
"X.ILI.NDR","Nashville-Davidson County","3","6","18","895","2.0%",""
"X.ILI.NER","Northeast Region","2","3","0","203","0.0%","lower"
"X.ILI.SCR","South Central Region","2","3","1","134","0.7%",""
"X.ILI.SER","Southeast Region","5","5","9","760","1.2%","lower"
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","1","528","0.2%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","3","603","0.5%","lower"
"X.ILI.WTR","West Tennessee Region","5","6","0","344","0.0%","lower"
