"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","5","0","403","0.0%",""
"X.ILI.ETR","East Tennessee Region","4","7","0","679","0.0%",""
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%",""
"X.ILI.KKR","Knoxville-Knox County","2","4","0","426","0.0%",""
"X.ILI.MCR","Mid-Cumberland Region","6","11","0","506","0.0%",""
"X.ILI.MSR","Shelby County (Memphis)","3","6","1","715","0.1%",""
"X.ILI.NDR","Nashville-Davidson County","3","6","0","798","0.0%",""
"X.ILI.NER","Northeast Region","2","3","0","305","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","265","0.0%",""
"X.ILI.SER","Southeast Region","4","4","1","414","0.2%","higher"
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","273","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","5","5","0","635","0.0%",""
"X.ILI.WTR","West Tennessee Region","5","6","0","351","0.0%",""
