"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","0","658","0.0%","lower"
"X.ILI.ETR","East Tennessee Region","5","7","24","1914","1.3%","higher"
"X.ILI.JMR","Jackson-Madison County","1","2","12","508","2.4%","higher"
"X.ILI.KKR","Knoxville-Knox County","2","4","14","1652","0.9%",""
"X.ILI.MCR","Mid-Cumberland Region","6","10","10","921","1.1%",""
"X.ILI.MSR","Shelby County (Memphis)","1","5","6","142","4.2%","higher"
"X.ILI.NDR","Nashville-Davidson County","3","5","6","766","0.8%",""
"X.ILI.NER","Northeast Region","3","3","1","239","0.4%",""
"X.ILI.SCR","South Central Region","3","3","1","201","0.5%",""
"X.ILI.SER","Southeast Region","5","5","0","856","0.0%","lower"
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","0","530","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","3","4","1","338","0.3%",""
"X.ILI.WTR","West Tennessee Region","6","6","1","314","0.3%",""
