"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","8","530","1.5%","lower"
"X.ILI.ETR","East Tennessee Region","7","7","218","2970","7.3%",""
"X.ILI.JMR","Jackson-Madison County","1","1","310","802","38.7%","higher"
"X.ILI.KKR","Knoxville-Knox County","2","3","98","1249","7.9%",""
"X.ILI.MCR","Mid-Cumberland Region","7","15","30","1041","2.9%","lower"
"X.ILI.MSR","Shelby County (Memphis)","10","11","143","1703","8.4%",""
"X.ILI.NDR","Nashville-Davidson County","4","9","26","874","3.0%","lower"
"X.ILI.NER","Northeast Region","4","4","5","282","1.8%","lower"
"X.ILI.SCR","South Central Region","3","3","2","203","1.0%","lower"
"X.ILI.SER","Southeast Region","4","5","22","529","4.2%","lower"
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","1","0","381","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","2","552","0.4%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","2","360","0.6%","lower"
