"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","0","471","0.0%",""
"X.ILI.ETR","East Tennessee Region","4","7","1","1720","0.1%","lower"
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","3","3","3","979","0.3%",""
"X.ILI.MCR","Mid-Cumberland Region","7","11","0","604","0.0%",""
"X.ILI.MSR","Shelby County (Memphis)","7","12","33","744","4.4%","higher"
"X.ILI.NDR","Nashville-Davidson County","2","6","0","271","0.0%",""
"X.ILI.NER","Northeast Region","2","4","0","173","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","258","0.0%",""
"X.ILI.SER","Southeast Region","4","4","0","190","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","1","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","3","4","0","464","0.0%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","272","0.0%",""
