x,y
506,446
506,449
504,451
504,455
507,455
508,456
508,462
509,463
509,466
510,467
511,478
512,479
512,482
513,483
513,489
514,490
514,493
515,494
515,498
516,499
516,504
517,505
517,508
518,509
518,516
519,517
519,520
520,521
520,524
521,525
521,530
522,531
523,542
524,543
524,547
525,548
525,552
526,553
526,559
527,560
527,564
528,565
528,572
530,576
530,581
531,582
531,588
532,589
532,593
533,594
533,600
534,601
534,606
535,607
535,611
536,612
536,618
537,619
537,624
538,625
538,632
539,633
539,636
540,637
540,642
541,643
541,650
542,651
542,655
543,656
543,661
544,662
544,668
545,669
545,673
546,674
545,673
545,669
544,668
544,662
543,661
543,656
542,655
542,651
541,650
541,643
540,642
540,637
539,636
539,633
538,632
538,625
537,624
537,619
536,618
536,612
535,611
535,607
534,606
534,601
533,600
533,594
532,593
532,589
531,588
531,582
530,581
530,576
528,572
528,565
527,564
527,560
526,559
526,553
525,552
525,548
524,547
524,543
523,542
523,537
522,536
521,525
520,524
520,521
519,520
519,517
518,516
518,509
517,508
517,505
516,504
516,499
515,498
515,494
514,493
514,490
513,489
513,483
512,482
512,479
511,478
511,473
510,472
510,467
509,466
509,463
508,462
508,456
507,455
