"","Secretaria Municipal de Saúde e Defesa Civil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-Secretaria de  Promoção,Atenção Primária e Vigilância em Saúde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Superintendência de Vigilância em Saúde ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gerência de Vigilância Epidemiológica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Município do Rio de Janeiro - 2001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Número de Casos  de Dengue por Semana Epidemiológica(*) e Áreas de Planejamento, Regiões Administrativas e Bairros","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tabela Atualizada em","15/12/11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro",""
"Áreas de Planejamento, Regiões Administrativas e Bairros","População Censo 2000","Semana 01","Semana 02"," Semana 03"," Semana 04"," Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10"," Semana 11"," Semana 12"," Semana 13"," Semana 14"," Semana 15"," Semana 16","Semana 17"," Semana 18"," Semana 19","Semana 20"," Semana 21"," Semana 22"," Semana 23","Semana 24","Semana 25","Semana 26"," Semana 27","Semana 28"," Semana 29"," Semana 30","Semana 31","Semana 32","Semana 33"," Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42"," Semana 43","Semana 44","Semana 45","Semana 46"," Semana 47"," Semana 48"," Semana 49","Semana 50","Semana 51","Semana 52","Total Casos"
"TOTAL","6 291 773","  38","  51","  72","  207","  322","  393","  335","  218","  311","  402","  406","  544","  789"," 1 211"," 1 142"," 1 604"," 2 224"," 2 541"," 2 194"," 1 460"," 1 174"," 1 229"," 1 210","  821","  753","  531","  438","  274","  255","  149","  114","  128","  111","  127","  97","  82","  89","  54","  60","  100","  84","  143","  97","  85","  108","  112","  128","  181","  278","  466","  518"," 1 213"," 27 673"
"AREA DE PLANEJAMENTO 1"," 248 908","  5","  3","  5","  14","  24","  27","  21","  15","  32","  25","  16","  38","  64","  82","  80","  112","  151","  206","  159","  126","  106","  115","  96","  89","  83","  76","  47","  20","  36","  25","  16","  17","  23","  12","  13","  10","  12","  4","  5","  12","  4","  7","  9","  5","  6","  13","  8","  14","  19","  27","  33","  110"," 2 277"
"I PORTUARIA"," 38 394","1","1","0","6","6","7","10","2","5","4","5","8","11","13","5","18","31","31","26","25","20","22","9","25","25","14","7","2","13","4","3","4","5","1","1","3","4","0","3","8","0","3","1","1","3","0","1","2","3","11","10","38","  461"
"SAÚDE"," 2 010","0","0","0","2","1","1","3","1","1","1","2","1","4","0","3","5","5","9","7","4","5","8","1","5","5","3","2","1","1","1","0","0","1","1","0","0","0","0","1","3","0","1","0","1","1","0","0","0","1","1","2","5","  100"
"GAMBOA"," 9 909","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","4","2","1","0","2","4","1","0","2","1","0","0","0","1","0","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","  25"
"SANTO CRISTO"," 8 817","0","1","0","3","3","5","3","1","4","2","2","4","6","9","1","4","15","9","8","10","4","7","5","11","8","7","3","1","4","3","1","1","1","0","1","1","1","0","1","3","0","2","1","0","0","0","1","1","0","3","6","6","  173"
"CAJU"," 17 658","1","0","0","1","2","1","2","0","0","1","1","3","1","4","0","5","9","12","11","9","7","6","3","7","11","4","2","0","7","0","1","1","3","0","0","2","3","0","0","2","0","0","0","0","2","0","0","1","2","7","2","27","  163"
"II CENTRO"," 33 378","  0","  1","  2","  2","  1","  6","  2","  6","  4","  8","  1","  8","  12","  13","  8","  14","  16","  36","  24","  23","  13","  20","  22","  14","  14","  14","  6","  2","  5","  4","  2","  4","  2","  2","  1","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  1","  0","  2","  1","  3","  6","  6","  333"
"CENTRO"," 33 378","  0","  1","  2","  2","  1","  6","  2","  6","  4","  8","  1","  8","  12","  13","  8","  14","  16","  36","  24","  23","  13","  20","  22","  14","  14","  14","  6","  2","  5","  4","  2","  4","  2","  2","  1","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  1","  0","  2","  1","  3","  6","  6","  333"
"III RIO COMPRIDO"," 68 882","  1","  0","  1","  5","  7","  4","  3","  4","  8","  4","  6","  7","  14","  14","  12","  17","  28","  37","  36","  24","  16","  24","  14","  10","  17","  20","  6","  2","  3","  4","  3","  4","  5","  2","  3","  3","  5","  2","  0","  0","  1","  0","  2","  3","  0","  3","  0","  2","  4","  0","  7","  14","  411"
"CATUMBI"," 12 967","0","0","0","1","1","0","1","0","0","0","0","2","1","3","1","1","1","8","9","7","1","2","3","3","3","2","3","1","1","3","0","1","0","1","0","2","2","0","0","0","0","0","1","1","0","0","0","0","1","0","0","1","  68"
