"","Secretaria Municipal de Saúde e Defesa Civil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-Secretaria de  Promoção,Atenção Primária e Vigilância em Saúde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Superintendência de Vigilância em Saúde ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gerência de Vigilância Epidemiológica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Município do Rio de Janeiro - 2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Número de Casos  de Dengue por Semana Epidemiológica(*) e Áreas de Planejamento, Regiões Administrativas e Bairros","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tabela Atualizada em","15/12/11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro",""
"Áreas de Planejamento, Regiões Administrativas e Bairros","População Censo 2000","Semana 01","Semana 02"," Semana 03"," Semana 04"," Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10"," Semana 11"," Semana 12"," Semana 13"," Semana 14"," Semana 15"," Semana 16","Semana 17"," Semana 18"," Semana 19","Semana 20"," Semana 21"," Semana 22"," Semana 23","Semana 24","Semana 25","Semana 26"," Semana 27","Semana 28"," Semana 29"," Semana 30","Semana 31","Semana 32","Semana 33"," Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42"," Semana 43","Semana 44","Semana 45","Semana 46"," Semana 47"," Semana 48"," Semana 49","Semana 50","Semana 51","Semana 52","Total Casos"
"TOTAL","6 291 773","  21","  17","  6","  10","  13","  12","  24","  6","  9","  9","  7","  7","  13","  5","  10","  6","  17","  8","  10","  9","  2","  7","  8","  5","  9","  7","  6","  8","  12","  8","  11","  23","  12","  10","  6","  8","  14","  10","  11","  10","  16","  14","  15","  22","  21","  17","  31","  65","  92","  94","  79","  113","  985"
"AREA DE PLANEJAMENTO 1"," 248 908","  2","  2","  0","  1","  2","  3","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  1","  0","  1","  1","  0","  0","  0","  0","  0","  0","  3","  2","  0","  1","  2","  1","  1","  3","  2","  0","  1","  0","  0","  1","  1","  2","  1","  0","  0","  4","  0","  43"
"I PORTUARIA"," 38 394","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","0","0","3","0","  11"
"SAÚDE"," 2 010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","3","0","  5"
"GAMBOA"," 9 909","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  0"
"SANTO CRISTO"," 8 817","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  4"
"CAJU"," 17 658","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","  2"
"II CENTRO"," 33 378","  0","  0","  0","  0","  1","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8"
"CENTRO"," 33 378","  0","  0","  0","  0","  1","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8"
"III RIO COMPRIDO"," 68 882","  0","  0","  0","  1","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  1","  0","  11"
"CATUMBI"," 12 967","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","  2"
"RIO COMPRIDO"," 31 161","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","  6"
