"Área Programática, Regiões A","População dministrativas e BairrosCenso 2010","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total"
"Total","6.320.446","162","246","884","3.352","5.365","3.155","1.285","797","397","367","615","1.445","18.070"
"Local de Residência Ignorado**","0","1","7","30","97","98","73","43","20","8","8","53","181","619"
"Área Programática 1.0","297.976","12","4","32","123","223","106","57","27","17","16","25","52","694"
"I Portuária","48.664","1","0","2","7","22","12","6","4","3","1","3","10","71"
"Saúde","2.749","0","0","0","1","3","1","0","0","0","0","0","0","5"
"Gamboa","13.108","0","0","0","1","8","2","0","1","1","0","0","4","17"
"Santo Cristo","12.330","0","0","0","3","2","2","1","1","1","0","1","0","11"
"Caju","20.477","1","0","2","2","9","7","5","2","1","1","2","6","38"
"II Centro","41.142","2","2","2","18","25","12","2","1","3","3","1","7","78"
"Centro","41.142","2","2","2","18","25","12","2","1","3","3","1","7","78"
"III Rio Comprido","78.975","5","1","7","34","73","32","27","9","5","4","5","7","209"
"Catumbi","12.556","2","0","3","15","17","10","10","5","4","1","3","0","70"
"Rio Comprido","43.764","2","0","2","12","40","15","8","4","0","2","2","6","93"
"Cidade Nova","5.466","0","0","1","3","7","3","1","0","0","0","0","0","15"
"Estácio","17.189","1","1","1","4","9","4","8","0","1","1","0","1","31"
"VII São Cristóvão","84.908","2","1","12","35","47","22","9","8","1","4","8","16","165"
"São Cristóvão","26.510","2","1","7","21","34","16","4","7","0","3","6","5","106"
"Mangueira","17.835","0","0","3","3","3","1","1","0","0","0","1","1","13"
"Benfica","25.081","0","0","2","11","10","5","4","1","1","1","1","10","46"
"Vasco da Gama ***","15.482","0","0","0","0","0","0","0","0","0","0","0","0","0"
"XXI Paquetá","3.361","1","0","0","2","1","0","0","0","0","0","1","3","8"
"Paquetá","3.361","1","0","0","2","1","0","0","0","0","0","1","3","8"
"XXIII Santa Teresa","40.926","1","0","9","27","55","28","13","5","5","4","7","9","163"
"Santa Teresa","40.926","1","0","9","27","55","28","13","5","5","4","7","9","163"
"Área Programática 2.1","638.050","24","32","108","284","342","203","88","39","17","17","53","95","1.302"
"IV Botafogo","239.729","11","13","52","124","157","85","45","10","7","5","19","31","559"
"Flamengo","50.043","1","5","6","22","21","14","7","3","2","0","4","3","88"
"Glória","9.661","3","0","6","8","6","3","4","0","0","0","1","4","35"
"Laranjeiras","45.554","2","4","11","21","8","10","10","3","0","2","2","5","78"
"Catete","24.057","2","0","9","34","63","28","11","0","1","2","6","8","164"
"Cosme Velho","7.178","0","0","4","6","8","3","1","0","0","0","0","1","23"
"Botafogo","82.890","1","3","13","29","43","25","11","4","3","1","4","9","146"
"Humaitá","13.285","2","1","2","4","6","0","0","0","1","0","0","1","17"
"Urca","7.061","0","0","1","0","2","2","1","0","0","0","2","0","8"
"V Copacabana","161.191","4","4","22","75","71","57","25","17","6","9","14","21","325"
"Leme","14.799","1","1","1","9","9","6","2","2","3","8","6","2","50"
"Copacabana","146.392","3","3","21","66","62","51","23","15","3","1","8","19","275"
"VI Lagoa","167.774","5","9","27","59","69","42","14","10","2","1","11","23","272"
"Ipanema","42.743","2","1","10","16","12","17","6","0","0","1","3","3","71"
"Leblon","46.044","0","1","7","12","15","5","3","1","0","0","5","5","54"
"Lagoa","21.198","0","3","0","2","2","2","0","1","0","0","0","3","13"
"Jardim Botânico","18.009","1","1","4","7","8","1","0","2","0","0","0","1","25"
"Gávea","16.003","1","2","4","10","10","5","0","4","0","0","2","5","43"
"Vidigal","12.797","0","0","1","5","16","11","4","2","2","0","1","3","45"
"São Conrado","10.980","1","1","1","7","6","1","1","0","0","0","0","3","21"
"XXVII Rocinha","69.356","4","6","7","26","45","19","4","2","2","2","9","20","146"
"Rocinha","69.356","4","6","7","26","45","19","4","2","2","2","9","20","146"
"Área Programática 2.2","371.120","19","16","90","241","254","120","57","16","16","15","23","41","908"
"VIII Tijuca","181.810","9","8","27","60","46","22","11","7","7","7","10","19","233"
"Praça da Bandeira","8.662","0","0","1","1","4","5","4","2","1","2","2","2","24"
"Tijuca","163.805","7","8","25","56","39","16","7","5","5","5","8","16","197"
"Alto da Boa Vista","9.343","2","0","1","3","3","1","0","0","1","0","0","1","12"
"IX Vila Isabel","189.310","10","8","63","181","208","98","46","9","9","8","13","22","675"
"Maracanã","25.256","3","2","4","26","9","2","1","0","1","1","1","3","53"
"Vila Isabel","86.018","4","4","48","131","157","71","28","8","6","5","6","17","485"
"Andaraí","39.365","2","1","4","4","14","15","7","0","0","1","5","1","54"
"Grajaú","38.671","1","1","7","20","28","10","10","1","2","1","1","1","83"
