MagalhãesBastos,24.43,3,4,1,1,1,0,1,0,1,0,0,0,12
Realengo,180.123,22,4,11,8,9,4,3,2,7,7,8,3,88
XVIIBangu,428.035,58,46,42,34,29,30,16,29,36,29,15,14,378
PadreMiguel,64.228,5,10,4,5,5,5,1,4,6,3,4,2,54
Bangu,243.125,39,27,29,21,18,22,14,21,26,18,10,9,254
SenadorCamará,105.515,14,9,9,8,6,3,1,4,4,8,1,3,70
Gericino,15.167,0,0,0,0,0,0,0,0,0,0,0,0,0
ÁreaProgramática5.2,665.198,36,27,23,16,21,15,22,17,20,16,9,13,235
XVIIICampoGrande,542.084,21,13,14,6,13,8,7,4,12,10,5,8,121
Santíssimo,41.458,1,7,2,1,2,1,1,0,0,2,0,3,20
CampoGrande,328.37,15,4,9,2,7,5,5,2,9,5,3,2,68
SenadorVasconcelos,30.6,2,1,0,0,1,1,1,0,1,0,0,0,7
Inhoaíba,64.649,1,1,2,2,2,0,0,2,1,0,1,1,13
Cosmos,77.007,2,0,1,1,1,1,0,0,1,3,1,2,13
XXVIGuaratiba,123.114,15,14,9,10,8,7,15,13,8,6,4,5,114
Guaratiba,110.049,10,12,8,7,8,7,11,10,6,3,4,5,91
BarradeGuaratiba,3.577,0,0,0,0,0,0,1,0,1,3,0,0,5
PedradeGuaratiba,9.488,5,2,1,3,0,0,3,3,1,0,0,0,18
ÁreaProgramática5.3,368.534,8,11,12,20,40,9,8,19,15,11,8,5,166
XIXSantaCruz,368.534,8,11,12,20,40,9,8,19,15,11,8,5,166
Paciência,94.626,3,1,3,5,9,3,3,3,7,5,0,1,43
SantaCruz,217.333,5,5,3,8,18,2,4,4,6,3,7,3,68
Sepetiba,56.575,0,5,6,7,13,4,1,12,2,3,1,1,55
