"","Secretaria Municipal de Saúde e Defesa Civil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-Secretaria de  Promoção,Atenção Primária e Vigilância em Saúde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Superintendência de Vigilância em Saúde ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gerência de Vigilância Epidemiológica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Município do Rio de Janeiro - 2006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Número de Casos  de Dengue por Semana Epidemiológica(*) e Áreas de Planejamento, Regiões Administrativas e Bairros","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tabela Atualizada em","15/12/11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro",""
"Áreas de Planejamento, Regiões Administrativas e Bairros","População Censo 2000","Semana 01","Semana 02"," Semana 03"," Semana 04"," Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10"," Semana 11"," Semana 12"," Semana 13"," Semana 14"," Semana 15"," Semana 16","Semana 17"," Semana 18"," Semana 19","Semana 20"," Semana 21"," Semana 22"," Semana 23","Semana 24","Semana 25","Semana 26"," Semana 27","Semana 28"," Semana 29"," Semana 30","Semana 31","Semana 32","Semana 33"," Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42"," Semana 43","Semana 44","Semana 45","Semana 46"," Semana 47"," Semana 48"," Semana 49","Semana 50","Semana 51","Semana 52","Total Casos"
"TOTAL","6 291 773","  132","  196","  381","  575","  676","  762","  782","  659","  798","  928","  909","  937","  952","  883","  635","  623","  449","  430","  336","  266","  177","  167","  114","  87","  99","  98","  48","  43","  50","  22","  57","  18","  34","  31","  20","  20","  20","  20","  26","  24","  15","  35","  31","  26","  27","  37","  37","  47","  65","  95","  79","  139"," 14 117"
"AREA DE PLANEJAMENTO 1"," 248 908","  3","  10","  11","  27","  37","  31","  34","  32","  58","  51","  65","  65","  74","  62","  69","  53","  46","  34","  26","  13","  17","  15","  10","  11","  7","  8","  3","  2","  2","  1","  4","  1","  2","  1","  4","  3","  5","  1","  3","  2","  1","  9","  1","  2","  2","  6","  1","  3","  7","  8","  2","  2","  947"
"I PORTUARIA"," 38 394","0","4","3","12","8","5","7","4","11","14","21","13","20","12","19","9","7","7","4","1","4","3","5","1","2","1","0","1","0","0","1","0","0","0","0","0","1","0","2","1","0","3","0","0","0","1","0","0","2","2","0","1","  212"
"SAÚDE"," 2 010","0","1","2","0","4","1","4","2","1","4","8","6","6","5","7","0","1","1","1","0","0","2","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","  60"
"GAMBOA"," 9 909","0","0","0","2","1","0","0","0","1","2","3","4","3","1","6","1","3","0","2","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","  34"
"SANTO CRISTO"," 8 817","0","3","0","8","2","4","2","1","5","4","10","1","9","3","2","4","3","5","1","0","2","1","4","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","1","  81"
"CAJU"," 17 658","0","0","1","2","1","0","1","1","4","4","0","2","2","3","4","4","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","1","0","0","0","1","0","0","  37"
"II CENTRO"," 33 378","  0","  0","  1","  5","  6","  12","  7","  6","  15","  17","  21","  20","  15","  11","  19","  13","  13","  8","  4","  3","  6","  3","  2","  2","  1","  1","  0","  0","  1","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  2","  0","  1","  0","  2","  0","  1","  2","  0","  1","  0","  224"
"CENTRO"," 33 378","  0","  0","  1","  5","  6","  12","  7","  6","  15","  17","  21","  20","  15","  11","  19","  13","  13","  8","  4","  3","  6","  3","  2","  2","  1","  1","  0","  0","  1","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  2","  0","  1","  0","  2","  0","  1","  2","  0","  1","  0","  224"
"III RIO COMPRIDO"," 68 882","  1","  3","  2","  5","  7","  4","  9","  8","  12","  5","  10","  11","  10","  14","  7","  10","  10","  3","  5","  4","  4","  2","  1","  3","  1","  4","  2","  1","  1","  1","  0","  0","  0","  0","  2","  0","  1","  0","  0","  1","  1","  2","  1","  1","  0","  1","  0","  0","  0","  0","  0","  0","  170"
"CATUMBI"," 12 967","0","0","1","0","3","0","0","0","5","0","3","4","0","4","2","2","4","2","1","0","0","0","1","1","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","  38"
"RIO COMPRIDO"," 31 161","0","2","1","4","1","2","6","4","4","3","2","4","5","3","3","3","2","0","2","2","4","0","0","1","0","1","2","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","  67"
