Áreas de Planejamento, Regiões Administrativas e Bairros,População Censo 2000,Semana 01,Semana 02, Semana 03, Semana 04, Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10, Semana 11, Semana 12, Semana 13, Semana 14, Semana 15, Semana 16,Semana 17, Semana 18, Semana 19,Semana 20, Semana 21, Semana 22, Semana 23,Semana 24,Semana 25,Semana 26, Semana 27,Semana 28, Semana 29, Semana 30,Semana 31,Semana 32,Semana 33, Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42, Semana 43,Semana 44,Semana 45,Semana 46, Semana 47, Semana 48, Semana 49,Semana 50,Semana 51,Semana 52
TOTAL,6 291 773, 1 638, 3 667, 8 531, 10 480, 11 358, 11 726, 10 643, 12 205, 12 698, 16 312, 15 277, 10 346, 6 552, 4 854, 2 941, 1 788, 1 115,  700,  566,  259,  147,  61,  56,  60,  37,  32,  23,  31,  16,  21,  18,  18,  29,  18,  9,  8,  11,  17,  15,  21,  40,  37,  48,  58,  79,  149,  184,  255,  237,  167,  102,  119,
AREA DE PLANEJAMENTO 1, 248 908,  142,  373,  853,  822,  870,  863,  767,  749,  881, 1 025,  845,  488,  309,  264,  167,  110,  66,  41,  57,  19,  11,  3,  3,  4,  2,  3,  1,  3,  3,  0,  2,  6,  4,  2,  1,  0,  2,  1,  1,  0,  2,  3,  2,  1,  3,  9,  12,  12,  19,  10,  10,  8,
I PORTUARIA, 38 394,61,141,306,254,241,224,132,131,195,191,133,52,20,42,24,21,14,5,2,2,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,4,1,2,1,5,0,
SAÚDE, 2 010,15,28,41,49,59,50,17,28,32,39,40,23,4,17,5,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,
GAMBOA, 9 909,1,5,3,2,4,2,5,0,0,5,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SANTO CRISTO, 8 817,13,31,52,85,87,111,49,63,64,57,58,18,9,9,9,10,4,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,2,0,5,0,
CAJU, 17 658,32,77,210,118,91,61,61,40,99,90,35,11,7,11,9,9,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
II CENTRO, 33 378,  18,  46,  78,  65,  107,  113,  114,  130,  165,  189,  185,  121,  96,  50,  33,  22,  15,  13,  28,  1,  2,  0,  1,  0,  1,  0,  0,  0,  2,  0,  0,  4,  1,  1,  0,  0,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,  3,  1,  0,  1,
CENTRO, 33 378,  18,  46,  78,  65,  107,  113,  114,  130,  165,  189,  185,  121,  96,  50,  33,  22,  15,  13,  28,  1,  2,  0,  1,  0,  1,  0,  0,  0,  2,  0,  0,  4,  1,  1,  0,  0,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,  3,  1,  0,  1,
III RIO COMPRIDO, 68 882,  21,  45,  123,  188,  196,  192,  207,  150,  200,  208,  185,  137,  83,  77,  53,  21,  15,  9,  16,  4,  2,  2,  0,  2,  0,  1,  0,  1,  1,  0,  0,  0,  0,  0,  1,  0,  0,  0,  1,  0,  1,  1,  1,  1,  2,  4,  2,  3,  5,  2,  1,  1,
