"Área Programática, Regiões Administrativas e Bairros","Pop. Censo 2010","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total"
"Total","6.320.446","476","304","270","252","255","178","132","157","206","188","141","99","2.658"
"Bairro de Residência Ignorado**","0","5","14","13","17","5","2","2","3","9","7","7","14","98"
"Área Programática 1.0I PortuáriaSaúdeGamboaSanto CristoCajuII CentroCentroIII Rio CompridoCatumbi","297.97648.6642.74913.10812.33020.47741.14241.14278.97512.556","25101005552","22000006640","21800261130","14210013331","11100012200","15100103321","5000001110","3000002210","10300031121","7100010040","5000000000","2000000000","14017113122424255"
"Rio CompridoCidade NovaEstácioVII São CristóvãoSão CristóvãoMangueiraBenficaVasco da Gama XXI PaquetáPaquetáXXIII Santa Teresa","43.7645.46617.18984.90826.51017.83525.08115.4823.3613.36140.926","30096030005","40042110117","11163120003","00232010330","00011000443","10010100335","10020110001","00100000000","10021010002","11210010001","00011000004","00021100000","122632175100111131"
"Santa TeresaÁrea Programática 2.1","40.926638.050","533","735","323","023","39","517","113","04","29","111","413","015","31205"
"IV BotafogoFlamengoGlóriaLaranjeiras","239.72950.0439.66145.554","21443","25143","12010","12100","6112","5100","6001","2001","4010","3000","7111","6002","10991213"

"Área Programática, Regiões Administrativas e BairrosCateteCosme Velho","Pop. Censo 201024.0577.178","Jan40","Fev61","Mar11","Abr40","Mai10","Jun10","Jul01","Ago10","Set00","Out10","Nov20","Dez10","Total223"
"BotafogoHumaitáUrcaV CopacabanaLemeCopacabanaVI LagoaIpanemaLeblonLagoa","82.89013.2857.061 161 19114.799146.392 167 77442.74346.04421.198","4027164111","7217162100","8014046210","7003036111","1003030000","1204042000","4003211000","0001100000","2103032100","1104044101","2002022200","3005142100","406446640311033"
"Jardim BotânicoGáveaVidigalSão ConradoXXVII RocinhaRocinhaÁrea Programática 2.2","18.00916.00312.79710.980 69 356 69 356 371 120","00101144","00101125","11011120","11102211","00000019","1010666","00103319","00001121","10000015","01100015","00002218","0010224","43711919217"
"VIII TijucaPraça da Bandeira","181 8108.662","221","170","120","71","103","21","151","121","102","61","20","10","11611"
"TijucaAlto da Boa VistaIX Vila IsabelMaracanã","163.8059.343 189 31025.256","201227","17082","12081","6041","6193","1040","13140","11094","7151","5091","20160","1031","101410121"
"Vila IsabelAndaraíGrajaúÁrea Programática 3.1X RamosManguinhos","86.01839.36538.671 886 551 153 17736.160","6369281","4202720","5111952","0121500","41139102","3012330","3101152","4011130","4001854","5121821","1303600","101310","5210182824412"
"BonsucessoRamosOlariaXI PenhaPenhaPenha CircularBrás de Pina","18.71140.79257.514 321 88778.67847.81659.222","22331617","10111100","1117202","0008121","12524626","0128112","0211000","0124001","00112611","0108200","0002110","0012000","5101711826820"

