"","Secretaria Municipal de Saúde e Defesa Civil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-Secretaria de  Promoção,Atenção Primária e Vigilância em Saúde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Superintendência de Vigilância em Saúde ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gerência de Vigilância Epidemiológica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Município do Rio de Janeiro - 2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Número de Casos  de Dengue por Semana Epidemiológica e Áreas de Planejamento, Regiões Administrativas e Bairros","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tabela Atualizada em","03-01-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro",""
"Áreas de Planejamento, Regiões Administrativas e Bairros","População Censo 2000","Semana 01","Semana 02"," Semana 03"," Semana 04"," Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10"," Semana 11"," Semana 12"," Semana 13"," Semana 14"," Semana 15"," Semana 16","Semana 17"," Semana 18"," Semana 19","Semana 20"," Semana 21"," Semana 22"," Semana 23","Semana 24","Semana 25","Semana 26"," Semana 27","Semana 28"," Semana 29"," Semana 30","Semana 31","Semana 32","Semana 33"," Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42"," Semana 43","Semana 44","Semana 45","Semana 46"," Semana 47"," Semana 48"," Semana 49","Semana 50","Semana 51","Semana 52","Total Casos"
"TOTAL","6 291 773","  76","  25","  23","  37","  42","  34","  48","  51","  59","  49","  49","  74","  50","  48","  53","  59","  86","  95","  66","  75","  66","  60","  35","  68","  49","  54","  66","  65","  55","  96","  89","  76","  52","  59","  36","  36","  46","  39","  30","  28","  33","  33","  36","  56","  61","  69","  84","  114","  130","  170","  134","  144"," 3 268"
"AREA DE PLANEJAMENTO 1"," 248 908","  5","  0","  0","  2","  3","  4","  4","  5","  3","  2","  2","  6","  4","  5","  2","  1","  10","  7","  10","  5","  3","  2","  0","  7","  5","  1","  3","  2","  4","  6","  6","  6","  2","  3","  3","  3","  4","  3","  1","  2","  3","  3","  8","  4","  2","  7","  4","  7","  8","  14","  9","  11","  226"
"I PORTUARIA"," 38 394","2","0","0","1","1","2","0","0","1","0","0","1","0","1","1","0","3","1","1","0","1","0","0","1","2","1","0","0","0","1","2","1","1","1","1","1","2","0","0","1","0","1","2","1","1","1","0","4","1","1","1","2","  46"
"SAÚDE"," 2 010","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","  7"
"GAMBOA"," 9 909","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","2","0","1","0","0","1","1","0","0","1","0","1","1","0","1","1","0","0","0","0","0","1","  17"
"SANTO CRISTO"," 8 817","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","2","1","0","0","0","0","0","1","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","  15"
"CAJU"," 17 658","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","  7"
"II CENTRO"," 33 378","  2","  0","  0","  1","  0","  0","  1","  2","  0","  2","  1","  2","  2","  1","  0","  0","  2","  4","  3","  3","  0","  1","  0","  2","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  1","  1","  1","  0","  1","  0","  0","  1","  0","  1","  1","  2","  1","  4","  46"
"CENTRO"," 33 378","  2","  0","  0","  1","  0","  0","  1","  2","  0","  2","  1","  2","  2","  1","  0","  0","  2","  4","  3","  3","  0","  1","  0","  2","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  1","  1","  1","  0","  1","  0","  0","  1","  0","  1","  1","  2","  1","  4","  46"
"III RIO COMPRIDO"," 68 882","  0","  0","  0","  0","  1","  2","  1","  1","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  1","  2","  2","  1","  0","  2","  1","  0","  1","  0","  2","  4","  2","  1","  0","  0","  0","  1","  0","  2","  0","  0","  2","  1","  4","  3","  1","  3","  2","  1","  2","  3","  2","  1","  54"
"CATUMBI"," 12 967","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2","1","2","3","1","3","0","0","2","3","0","1","  24"
"RIO COMPRIDO"," 31 161","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","1","2","2","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","0","  18"
"CIDADE NOVA"," 4 031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","  2"
"ESTÁCIO"," 20 722","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","2","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","  10"
"VII SÃO CRISTOVÃO"," 65 395","  0","  0","  0","  0","  1","  0","  2","  2","  2","  0","  1","  2","  0","  2","  1","  1","  3","  1","  3","  0","  0","  0","  0","  1","  0","  0","  2","  1","  2","  0","  2","  2","  1","  1","  1","  0","  2","  0","  0","  0","  0","  0","  1","  0","  0","  2","  1","  1","  0","  3","  1","  1","  46"
"SÃO CRISTOVÃO"," 35 455","0","0","0","0","0","0","2","1","2","0","1","1","0","0","1","0","2","0","2","0","0","0","0","0","0","0","2","1","0","0","1","0","1","1","1","0","1","0","0","0","0","0","1","0","0","2","1","1","0","3","0","1","  29"
"MANGUEIRA"," 11 311","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","1","0","0","0","0","2","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  9"
"BENFICA"," 18 629","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","  8"
"VASCO DA GAMA[1]"," ","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"XXI PAQUETÁ"," 3 698","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2","  3","  1","  10"
"PAQUETÁ"," 3 698","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2","  3","  1","  10"
"XXIII SANTA TERESA"," 39 163","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  1","  0","  0","  1","  1","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  3","  3","  1","  2","  24"
"SANTA TERESA"," 39 163","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  1","  0","  0","  1","  1","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  3","  3","  1","  2","  24"
"ÁREA DE PLANEJAMENTO 2.1"," 641 078","  18","  9","  5","  7","  8","  3","  15","  10","  14","  7","  7","  10","  11","  9","  11","  14","  12","  11","  11","  20","  8","  10","  4","  5","  3","  6","  7","  5","  6","  12","  8","  10","  5","  7","  10","  6","  0","  7","  3","  2","  1","  9","  9","  11","  6","  8","  12","  13","  17","  19","  9","  16","  466"
"IV BOTAFOGO"," 234 713","  3","  1","  2","  3","  3","  0","  6","  7","  7","  3","  4","  4","  1","  3","  6","  7","  2","  4","  3","  10","  5","  2","  1","  1","  0","  0","  1","  0","  2","  5","  1","  3","  2","  1","  2","  1","  0","  2","  0","  1","  0","  1","  5","  2","  1","  5","  5","  5","  7","  9","  2","  6","  157"
"FLAMENGO"," 52 510","2","0","0","0","0","0","1","0","1","0","0","3","1","0","2","2","0","2","0","1","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","3","2","1","1","1","  28"
"GLORIA"," 10 986","0","0","0","0","0","0","2","1","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","1","  14"
"LARANJEIRAS"," 45 299","0","0","0","0","2","0","1","2","0","0","2","1","0","0","0","2","1","0","1","1","0","1","0","0","0","0","0","0","1","0","0","2","1","1","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","1","0","0","  24"
"CATETE"," 20 617","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","1","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","1","3","0","0","  17"
"COSME VELHO"," 7 313","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","  3"
"BOTAFOGO"," 76 962","1","0","0","2","1","0","1","4","4","3","0","0","0","1","2","0","1","1","1","4","4","1","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","2","0","0","0","0","2","2","1","1","1","1","2","1","1","4","  52"
"HUMAITÁ"," 14 886","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","  9"
