"","Secretaria Municipal de Saúde e Defesa Civil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-Secretaria de  Promoção,Atenção Primária e Vigilância em Saúde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Superintendência de Vigilância em Saúde ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gerência de Vigilância Epidemiológica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Município do Rio de Janeiro - 2008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Número de Casos  de Dengue por Semana Epidemiológica(*) e Áreas de Planejamento, Regiões Administrativas e Bairros","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tabela Atualizada em","15/12/11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro",""
"Áreas de Planejamento, Regiões Administrativas e Bairros","População Censo 2000","Semana 01","Semana 02"," Semana 03"," Semana 04"," Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10"," Semana 11"," Semana 12"," Semana 13"," Semana 14"," Semana 15"," Semana 16","Semana 17"," Semana 18"," Semana 19","Semana 20"," Semana 21"," Semana 22"," Semana 23","Semana 24","Semana 25","Semana 26"," Semana 27","Semana 28"," Semana 29"," Semana 30","Semana 31","Semana 32","Semana 33"," Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42"," Semana 43","Semana 44","Semana 45","Semana 46"," Semana 47"," Semana 48"," Semana 49","Semana 50","Semana 51","Semana 52","Total Casos"
"TOTAL","6 291 773"," 1 387"," 2 304"," 2 909"," 2 795"," 2 182"," 2 327"," 3 362"," 4 306"," 5 310"," 6 844"," 8 824"," 9 577"," 14 612"," 14 508"," 11 490"," 8 431"," 6 338"," 4 073"," 2 653"," 1 511","  885","  817","  397","  385","  235","  127","  152","  95","  92","  105","  54","  68","  38","  44","  37","  47","  45","  26","  41","  48","  40","  73","  59","  66","  87","  94","  144","  135","  185","  188","  146","  219"," 120 917"
"AREA DE PLANEJAMENTO 1"," 248 908","  128","  212","  250","  178","  139","  176","  308","  377","  500","  568","  744","  807"," 1 162"," 1 187","  938","  710","  574","  291","  226","  128","  89","  63","  37","  23","  11","  8","  5","  8","  4","  4","  3","  3","  0","  1","  2","  7","  2","  2","  2","  0","  3","  6","  3","  4","  5","  7","  9","  7","  9","  11","  5","  14"," 9 960"
"I PORTUARIA"," 38 394","20","43","59","43","32","28","61","74","158","174","227","268","468","522","402","328","283","154","104","70","42","26","18","8","2","1","2","1","1","0","1","0","0","0","1","0","1","0","0","0","1","2","0","1","0","2","2","0","3","2","2","0"," 3 637"
"SAÚDE"," 2 010","5","4","9","3","3","3","6","7","22","25","18","19","38","28","26","19","12","2","5","4","3","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","  269"
"GAMBOA"," 9 909","0","11","13","8","8","6","8","14","11","23","28","22","46","29","29","19","9","6","3","6","2","1","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","1","2","0","  312"
"SANTO CRISTO"," 8 817","13","24","32","26","12","14","31","29","61","45","57","53","121","112","84","52","38","20","16","7","8","1","2","5","0","1","0","1","1","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","  869"
"CAJU"," 17 658","2","4","5","6","9","5","16","24","64","81","124","174","263","353","263","238","224","126","80","53","29","22","12","3","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","2","0","1","0","0","0"," 2 187"
"II CENTRO"," 33 378","  10","  16","  28","  11","  20","  32","  42","  45","  56","  66","  84","  87","  121","  131","  125","  67","  60","  27","  37","  15","  17","  10","  7","  5","  2","  2","  2","  0","  2","  1","  0","  2","  0","  1","  0","  6","  1","  0","  0","  0","  0","  2","  0","  1","  0","  2","  4","  3","  1","  1","  0","  0"," 1 152"
"CENTRO"," 33 378","  10","  16","  28","  11","  20","  32","  42","  45","  56","  66","  84","  87","  121","  131","  125","  67","  60","  27","  37","  15","  17","  10","  7","  5","  2","  2","  2","  0","  2","  1","  0","  2","  0","  1","  0","  6","  1","  0","  0","  0","  0","  2","  0","  1","  0","  2","  4","  3","  1","  1","  0","  0"," 1 152"
"III RIO COMPRIDO"," 68 882","  24","  51","  57","  32","  26","  48","  55","  74","  92","  102","  124","  136","  181","  142","  118","  96","  72","  24","  21","  15","  6","  10","  4","  4","  4","  1","  1","  2","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  2","  1","  0","  0","  1","  4","  2","  7"," 1 543"
"CATUMBI"," 12 967","5","16","18","4","10","13","13","18","11","20","19","22","29","22","14","13","15","8","4","5","0","1","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","1","  289"
