x,y
498,445
498,447
499,448
499,456
500,457
500,469
501,470
501,477
502,478
502,485
503,486
503,494
504,495
504,501
505,502
505,513
506,514
506,522
507,523
507,529
508,530
508,538
509,539
509,546
510,547
510,558
511,559
511,566
512,567
513,584
514,585
514,591
515,592
515,604
516,605
516,613
517,614
517,621
518,622
518,631
519,632
519,639
520,640
520,653
521,654
521,662
522,663
522,670
523,671
523,676
523,671
522,670
522,663
521,662
521,654
520,653
520,640
519,639
519,632
518,631
518,622
517,621
517,614
516,613
516,605
515,604
515,592
514,591
514,585
513,584
512,567
511,566
511,559
510,558
510,547
509,546
509,539
508,538
508,530
507,529
507,523
506,522
506,514
505,513
505,502
504,501
504,495
503,494
503,486
502,485
502,478
501,477
501,470
500,469
500,457
499,456
499,448
498,447
