"Country or Subregion","aWeek","Clinical","cIncidence Rate","Lab. Confirm.","cIncidence Rate","d Serotype","eSevere Dengue","Deaths","PopulationX 1000","(SD/D) x100","CFR"
"***Canada","Week 52","","","","","DEN","","","","",""
"United States","Week 52","7","","7","","DEN 2,3","0","0","","",""
"Belize","Week 52","469","145.65","578","179.50","DEN ","3","0","322","0.64","0.00"
"Costa Rica","Week 52","13,854","303.62","3,160","69.25","DEN1,2,3","28","0","4,563","0.20","0.00"
"El Salvador","Week 52","20,836","325.72","7,469","116.76","DEN 1,2,3,4","213","7","6,397","1.02","0.03"
"Guatemala","Week 52","2,565","21.95","687","5.88","DEN 1,2","12","9","11,687","0.47","0.35"
"Honduras","Week 52","8,297","126.19","0","0.00","DEN 1,2","885","0","6,575","10.67","0.00"
"Mexico","Week 52","67,918","61.40","15,578","14.08","DEN 1,2,3,4","4,290","36","110,619","6.32","0.05"
"Nicaragua","Week 52","11,888","228.26","1,238","23.77","DEN 1,3","7","1","5,208","0.00","0.01"
"Panama","Week 52","3,882","109.14","3,171","89.15","DEN 1,2,3","38","17","3,557","0.98","0.44"
"Bolivia","Week 52","26,681","274.30","7,515","77.26","DEN 1,2,3","48","47","9,727","0.18","0.18"
"Colombia ","Week 52","33,207","144.76","8,941","38.98","DEN 1,2,3,4","1,388","42","22,939","4.18","0.13"
"Ecuador","Week 52","7,659","57.12","2,989","22.29","DEN 1,2,4","92","8","13,408","0.00","0.10"
"Peru","Week 52","29,810","101.00","8,827","29.91","DEN 1,2,3,4","198","31","29,515","0.66","0.10"
"Venezuela","Week 52","31,551","111.16","0","0.00","DEN 1,2,3,4","1,416","0","28,384","4.49","0.00"
"Subtotal ","","128,908","123.98","28,272","","","3,142","128","103,973","2.44","0.10"
"Argentina","Week 52","213","0.53","213","0.53","DEN 1, 2","0","0","40,091","0.00","0.00"
"Brazil","Week 52","764,032","399.01","5,417","2.83","DEN 1,2,3,4","10,545","482","191,481","1.38","0.06"
"hChile ","Week 52","1","0.02","1","0.02","DEN 1","0","0","4,537","0.00","0.00"
"Paraguay","Week 52","42,945","665.71","6,750","104.63","DEN 1,2","98","62","6,451","0.23","0.14"
"Uruguay","Week 52","0","0.00","0","0.00","DEN","0","0","3,385","0.00","0.00"
"fCuba","Week 00","0","0.00","0","0.00","DEN","0","0","11,254","…","…"
"Dominican Republic","Week 52","2,339","27.53","950","11.18","DEN 2","110","2","8,495","4.70","0.09"
"Puerto Rico","Week 52","5,654","143.07","1,495","37.83","DEN 1,2,4","31","3","3,952","0.55","0.05"
"Subtotal ","","7,993","33.72","2,445","","","141","5","23,701","1.76","0.06"
"Anguilla*","Week 52","9","69.23","8","61.54","DEN 4","0","0","13","0.00","0.00"
"Antigua & Barbuda*","Week 52","7","7.87","3","3.37","DEN 4","0","0","89","0.00","0.00"
"Aruba","Week 52","3,027","2,967.65","1,311","1,285.29","DEN 1,4","2","2","102","0.07","0.07"
"Bahamas*","Week 52","7,000","2,046.78","213","62.28","DEN 1","3","0","342","0.04","0.00"
"Barbados*","Week 52","745","273.90","179","65.81","DEN 1,2,4","6","2","272","0.81","0.27"
"Bermuda*","Week 52","1","1.59","1","1.59","DEN","0","0","63","0.00","0.00"
"British Virgin Islands*","Week 52","939","3,912.50","33","137.50","DEN","0","0","24","0.00","0.00"
"Cayman Islands*","Week 52","2","5.00","2","5.00","DEN 2","0","0","40","0.00","0.00"
"Curacao*","Week 52","1,555","716.59","869","400.46","DEN 2","2","2","217","0.13","0.13"
"Dominica*","Week 52","40","56.34","40","56.34","DEN 1,4","0","0","71","0.00","0.00"
"French Guiana","Week 52","667","323.87","667","323.87","DEN 1,2,4","4","0","206","0.00","0.00"
"Grenada*","Week 52","87","92.55","87","92.55","DEN 1","5","0","94","5.75","0.00"
"Guadaloupe","Week 52","101","25.21","101","25.21","DEN 1,4","0","0","401","0.00","0.00"
"Guyana","Week 52","1,093","143.25","1,093","143.25","DEN","0","0","763","0.00","0.00"
"fHaiti","Week 00","0","0.00","0","0.00","DEN","0","0","13000","0.00","0.00"
"Jamaica*","Week 52","408","15.70","408","15.70","DEN","4","0","2,598","0.98","0.00"
"Martinique","Week 52","275","69.10","275","69.10","DEN 1,4","0","0","398","0.00","0.00"
"Montserrat*","Week 52","3","60.00","3","60.00","DEN 4","0","0","5","0.00","0.00"
"Netherlands Antilles","Week 52","939","5,216.67","567","3,150.00","DEN","0","0","18","0.00","0.00"
"St. Bartolome","Week 52","23","274.14","23","274.14","DEN 1","0","0","8","0.00","0.00"
"St. Kitts & Nevis*","Week 52","47","123.68","43","113.16","DEN 1,4 ","1","0","38","2.13","0.00"
"St. Lucia","Week 52","585","358.90","585","358.90","DEN 1","1","1","163","0.17","0.17"
"St. Martin","Week 52","168","466.67","96","266.67","DEN 1,2","0","0","36","0.00","0.00"
"St. Vincent & the Grenadines","Week 52","47","44.34","47","44.34","DEN","0","0","106","0.00","0.00"
"Suriname ","Week 52","409","94.46","145","33.49","DEN 2,4","24","8","433","5.87","1.96"
"Trinidad & Tobago*","Week 52","1,243","91.53","1,243","91.53","DEN 1,4","1","1","1,358","0.08","0.08"
"Turks & Caicos Islands*","Week 52","24","72.73","24","72.73","DEN 1","0","0","33","0.00","0.00"
"Subtotal ","","19,444","93.07","8,066","","","53","16","20,891","0.27","0.08"
"TOTAL","","          1,093,252","201.17","83,052","","","            19,455","                   763","543,438","","0.07"
