"Country or Subregion","aWeek","Clinical","cIncidence Rate","Lab. Confirm.","cIncidence Rate","d Serotype(%)","eDHF/DSS","Deaths","PopulationX 1000","(DHF/D) x100","CFR"
"***United States","Week","","","","","DEN","","","","",""
" Subtotal","","0","","","","","","","","",""
"gBelize","Week 43","23","9.96","","0.00","DEN","0","0","231","0.00","0.00"
"Costa Rica**","Week 44","7,160","220.72","","0.00","DEN 1,2","52","0","3,244","0.73","0.00"
"El Salvador","Week 52","5,774","90.26","1,388","21.70","DEN","0","","6,397","0.00","0.00"
"Guatemala","Week 52","3,230","27.64","397","3.40","DEN 1,2","3","0","11,687","0.00","0.00"
"Honduras","Week 53","18,941","288.08","","0.00","DEN 2,4","2,481","9","6,575","13.10","0.36"
"gMexico","Week 49","31,154","28.42","31,154","28.42","DEN 1,2,3","6,114","24","109,607","19.63","0.39"
"gNicaragua","Week 52","1,424","27.34","1,424","27.34","DEN1,2,3,4 ","34","5","5,208","2.39","14.71"
"Panama","Week 52","2,287","78.89","1,230","42.43","DEN 3","3","0","2,899","0.13","0.00"
"Subtotal ","","69,993","","35,593","","","8,687","38","","",""
"Bolivia**","Week 37 ","3,181","159.05","321","16.05","DEN","3","0","2,000","0.09","0.00"
"Colombia ","Week 52","26,732","116.54","3,394","14.80","DEN 1,2,3","3,081","12","22,939","11.53","0.39"
"Ecuador","Week 46","1,894","14.13","244","1.82","DEN 1,3","15","0","13,408","0.00","0.00"
"Peru","Week 45","10,278","36.73","3,209","11.47","DEN 1,3,4","32","1","27,980","0.31","3.13"
"Venezuela","Week 53","48,048","172.02","11,234","40.22","DEN 1,2,3,4","3,649","0","27,932","0.00","0.00"
"Subtotal ","","90,133","","18,402","","","6,780","13","","",""
"Argentina","Week 52","40","0.11","3","0.01","DEN 1","0","0","37,448","0.00","0.00"
"Brazil","Week 35","734,384","425.58","","0.00","DEN 1, 2,3","9,957","212","172,559","1.36","2.13"
"hChile ","Week 52","25","0.55","","0.00","DEN 1","0","0","4,537","0.00","0.00"
"Paraguay","Week 18","1,953","34.65","8","0.14","DEN","","","5,636","0.00","0.00"
"Uruguay***","Week 52","0","0.00","","0.00","DEN","","","3,385","0.00","0.00"
"Subtotal ","","736,402","","11","","","9,957","212","","",""
"fCuba ","Week","","0.00","","0.00","DEN","","","11,254","…","…"
"Dominican Republic","Week 50","4,333","51.01","2,038","23.99","DEN","183","38","8,495","4.22","20.77"
"Puerto Rico","Week 52","3,384","85.63","741","18.75","DEN 1, 2,3","65","2","3,952","1.92","3.08"
"Subtotal ","","7,717","","2,779","","","248","40","","",""
"Country or Subregion","aWeek","Clinical","cIncidence Rate","Lab. Confirm.","cIncidence Rate","d Serotype(%)","eDHF/DSS","Deaths","PopulationX 1000","(DHF/D) x100","CFR"
"American Virgin islands","Week","","","","","DEN","","","","",""
"Anguilla","Week 48","9","75.00","2","16.67","DEN 1","2","0","12","0.00","0.00"
"Antigua & Barbuda","Week 40","17","26.15","17","26.15","DEN 2","0","0","65","0.00","0.00"
"Aruba","Week 20","0","0.00","","0.00","DEN","0","0","104","0.00","0.00"
"Bahamas","Week 12","1","0.32","1","0.32","DEN","0","0","308","0.00","0.00"
"***Barbados","Week 53","1","0.37","1","0.37","DEN","0","0","268","0.00","0.00"
"Bermuda","Week 53","0","0.00","","0.00","DEN","0","0","63","0.00","0.00"
"British Virgin Islands","Week 48","15","62.50","15","62.50","DEN 2,4","0","0","24","0.00","0.00"
"Cayman Islands","Week 53","1","2.50","","0.00","DEN 2","0","0","40","0.00","0.00"
"Curacao","Week","","0.00","","0.00","DEN ","","","217","0.00","0.00"
"Dominica","Week 53","80","112.68","20","28.17","DEN 2","0","0","71","0.00","0.00"
"gFrench Guiana","Week 46","460","270.59","460","270.59","DEN 1,2,4","0","0","170","0.00","0.00"
"Grenada","Week 53","6","6.38","6","6.38","DEN","0","0","94","0.00","0.00"
"gGuadaloupe","Week 45","277","64.27","277","64.27","DEN 1,2,3","0","0","431","0.00","0.00"
"gGuyana","Week 44","324","42.46","","0.00","DEN","0","0","763","0.00","0.00"
"fHaiti","Week","","","","","DEN","","","","0.00","0.00"
"Jamaica","Week 53","359","13.82","","0.00","DEN 3","2","0","2,598","0.56","0.00"
"gMartinique","Week 45","586","151.81","586","151.81","DEN 1,2,4","","","386","0.00","0.00"
"Montserrat","Week 53","2","25.00","2","25.00","DEN 2","0","0","8","0.00","0.00"
"St. Kitts & Nevis","Week 48","49","128.95","49","128.95","DEN 3","0","0","38","0.00","0.00"
"St. Lucia","Week 44","98","65.77","64","42.95","DEN 2","0","0","149","0.00","0.00"
"St. Vincent & the Grenadines","Week 40","6","5.26","6","5.26","DEN","0","0","114","0.00","0.00"
"Trinidad & Tobago","Week 37","2,366","182.00","206","15.85","DEN 2,3","8","3","1,300","0.00","0.00"
"Turks & Caicos Islands","Week 53","0","0.00","","0.00","DEN","0","0","17","0.00","0.00"
"Subtotal ","","4,681","","1,736","","","24","3","","0.00","0.00"
"TOTAL","","           908,926","","58,521","","","       25,696","                   306","495,032","",""
