"Country ","Date of Report ","Dengue & DHF ","Serotype ","DHF only ","Deaths  "
"Argentina**  ","Week 52  ","3  ","   ","0  ","0  "
"Bolivia**  ","Week 52  ","43  ","Den 1,2  ","0  ","0  "
"Brazil  ","Week 52  ","204,201  ","Den 1,2  ","70  ","3  "
"Colombia  ","Week 52  ","20,336  ","Den 1,2,4  ","1093  ","14  "
"Costa Rica  ","Week 52  ","6,040  ","Den 2 ","117  ","0  "
"Cuba  ","Week 52  ","-  ","   ","0  ","0  "
"Dominican Republic  ","Week 52  ","1,088  ","Den 1,2,4  ","29  ","15  "
"El Salvador  ","Week 52  ","626  ","Den 2  ","70  ","4  "
"Guatemala  ","Week 52  ","3,617  ","Den 1,2,3,4  ","2  ","1  "
"Haiti  ","Nil ","-  ","   ","   ","   "
"Honduras  ","Week 52  ","17,835  ","Den 2,3  ","69  ","7  "
"Mexico  ","Week 52  ","14,875  ","   ","220  ","0  "
"Panama  ","Week 52  ","2,783  ","Den 1,2,3,4  ","1  ","0  "
"Paraguay  ","Week 52  ","1,164  ","Den 1  ","0  ","0  "
"Peru  ","Week 50  ","554  ","Den 1,2  ","0  ","1  "
"Puerto Rico  ","Week 52  ","4,993  ","Den 1,2,3,4  ","34  ","6  "
"Venezuela  ","Week 52  ","26,716  ","Den 1,2,4  ","2688  ","15  "
"Anguilla  ","Week 52  ","12  ","   ","0  ","0  "
"Antigua & Barbuda  ","Week 52  ","2  ","   ","0  ","0  "
"Aruba  ","Nil  ","130  ","   ","0  ","0  "
"Bahamas  ","Week 52  ","-  ","   ","0  ","0  "
"Barbados  ","Week 52  ","696  ","Den 1,2,3,4  ","8  ","4  "
"Belize  ","Week 52  ","3  ","   ","0  ","0  "
"Bermuda  ","Week 52  ","3  ","   ","0  ","0  "
"British Virgin Islands  ","Week 52  ","-  ","   ","0  ","0  "
"Cayman Islands  ","Week 52  ","1  ","   ","0  ","0  "
"Curaçao ","Week 24  ","5  ","   ","1  ","0  "
"French Guiana**  ","Week 52  ","88  ","Den 1, 2, 3  ","0  ","0  "
"Grenada  ","Week 52  ","85  ","Den 2  ","0  ","0  "
"Guadaloupe  ","Week 52  ","41  ","   ","0  ","0  "
"Guyana  ","Week 34  ","-  ","   ","0  ","0  "
"Jamaica  ","Week 52  ","24  ","   ","0  ","0  "
"Martinique  ","Week 52  ","268  ","Den 1, 2, 3  ","0  ","0  "
"Montserrat  ","Week 52  ","-  ","   ","0  ","0  "
"St. Christopher/Nevis  ","Week 22  ","1  ","Den 3  ","0  ","0  "
"St. Lucia  ","Week 52  ","3  ","   ","0  ","0  "
"St. Vincent & Grenadines  ","Week 52  ","8  ","   ","0  ","0  "
"Trinidad & Tobago+  ","Week 52  ","1,265  ","Den 2  ","65  ","0  "
"Turks & Caicos Islands  ","Week 52  ","-  ","   ","0  ","0  "
"Total ","   ","322,256 ","   ","5,216 ","82 "
