"Country or Subregion","aWeek","bProbable","Incidence cRate","Lab. Confirm.","Incidence dRate","Serotype","Severe eDengue","Deaths","PopulationX 1000","(SD/D) x100","CFR"
"Canada","Week 26","0","0.00","0","","","0","0","","","0.00"
"fUnited States","Week 26","52","0.02","49","","DEN","0","0","325,128","","0.00"
"Subtotal","","52","0.02","49","","","0","0","325128","","0.00"
"Belize","Week 00","","0.00","","0.00","","","","348","0.00","0.00"
"Costa Rica","Week 26","2,502","50.02","","0.00","DEN 1,2","0","0","5,002","0.00","0.00"
"El Salvador","Week 26","2,126","33.08","49","0.76","DEN 2","41","0","6,426","1.93","0.00"
"Guatemala","Week 24","1,296","7.97","230","1.41","DEN 1,2","","0","16,255","0.00","0.00"
"Honduras","Week 26","3,119","35.76","0","0.00","DEN 1, 2, 3","52","0","8,721","0.00","0.00"
"gMexico","Week 26","4,552","3.63","2,174","1.74","DEN 1,2,3","582","3","125,236","12.79","0.07"
"Nicaragua","Week 26","33,434","534.35","1,325","21.18","DEN","","2","6,257","0.00","0.01"
"Panama","Week 25","2,906","72.87","1,305","32.72","DEN 1,2","7","0","3,988","0.00","0.00"
"Subtotal","","49,935","28.99","5,083","2.95","","682","5","172,233","1.37","0.01"
"Bolivia","Week 20","6,668","60.48","","0.00","","47","","11,025","0.00","0.00"
"Colombia","Week 26","15,554","31.40","8,357","16.87","DEN","169","49","49,529","1.09","0.32"
"hEcuador","Week 26","9,373","57.77","9,373","57.77","DEN","8","4","16,226","0.09","0.04"
"Peru","Week 26","67,294","215.96","20,827","66.84","DEN 2,3","206","69","31,161","0.31","0.10"
"Venezuela","Week 17","2,722","8.77","309","1.00","DEN","7","0","31,028","0.00","0.00"
"Subtotal","","101,611","73.12","38,866","27.97","","437","122","138,969","0.43","0.12"
"iArgentina ","Week 26","7,028","121.00","249","0.59","DEN 1","0","0","42,155","0.00","0.00"
"Brazil","Week 25","192,123","94.34","","0.00","DEN","82","23","203,657","0.00","0.01"
"kChile","Week 26","5","0.03","5","0.03","DEN 2","0","0","17,924","0.00","0.00"
"Paraguay","Week 26","1,285","18.27","285","4.05","DEN 1","","0","7,033","0.00","0.00"
"Uruguay","Week 26","0","0.00","0","0.00","","0","0","3,430","0.00","0.00"
"Subtotal","","200,441","73.10","539","0.20","","82","23","274,199","0.03","0.01"
"Cuba","Week 25","270","2.40","","0.00","DEN 2,3","","","11,249","0.00","0.00"
"Dominican Republic","Week 26","595","5.59","","0.00","DEN","31","0","10,652","0.00","0.00"
"jPuerto Rico ","Week 26","9","0.24","9","0.24","DEN 2","0","0","3,680","0.00","0.00"
"Subtotal","","874","3.42","9","0.04","","31","0","25,581","2.67","0.00"
"American Virgin Islands","Week 19","1","0.96","1","0.96","DEN","0","0","104","0.00","0.00"
"Anguilla","Week 12","12","75.00","2","12.50","DEN","0","0","16","0.00","0.00"
"Antigua & Barbuda","Week 16","1","1.09","0"," 0.00","DEN","0","0","92","0.00","0.00"
"Aruba","Week 22","690","616.07","7","6.25","DEN","0","0","112","0.00","0.00"
"Bahamas","Week 12","0","0.00","0","0.00","","0","0","388","0.00","0.00"
"Barbados","Week 12","96","32.99","21","7.22","DEN","0","0","291","0.00","0.00"
"Bermuda","Week 16","0","0.00","0","0.00","","0","0","70","0.00","0.00"
"British Virgin Islands","Week 12","16","48.48","7","21.21","DEN","0","0","33","0.00","0.00"
"Cayman Islands","Week 16","7","12.50","0","0.00","DEN","0","0","56","0.00","0.00"
"Curacao","Week 00","0","0.00","0","0.00","","0","0","148","0.00","0.00"
"Dominica","Week 08","10","13.51","0","0.00","DEN","0","0","74","0.00","0.00"
"French Guiana","Week 17","165","69.04","0","0.00","","0","0","239","0.00","0.00"
"Grenada","Week 16","37","33.33","37","33.33","DEN","0","0","111","0.00","0.00"
"Guadaloupe","Week 22","80","19.46","0","0.00","","0","0","411","0.00","0.00"
"Guyana","Week 00","","0.00","","0.00","","0","0","808","0.00","0.00"
"Haiti","Week 00","","0.00","","0.00","","0","0","10,604","0.00","0.00"
"Jamaica","Week 26","56","1.99","2","0.07","DEN","0","0","2,813","0.00","0.00"
"Martinique","Week 22","130","32.66","0","0.00","","0","0","398","0.00","0.00"
"Montserrat","Week 16","0","0.00","0","0.00","","0","0","5","0.00","0.00"
"Netherlands Antilles","Week 00","","0.00","","0.00","","0","0","225","0.00","0.00"
"St. Bartolome","Week 22","24","264.90","0","0.00","","0","0","9","0.00","0.00"
"St. Kitts & Nevis","Week 00","","0.00","","0.00","","0","0","52","0.00","0.00"
"St. Lucia","Week 12","11","6.71","11","6.71","DEN","0","0","164","0.00","0.00"
"St. Martin","Week 22","82","200.00","0","0.00","","0","0","41","0.00","0.00"
"St. Vincent & the Grenadines","Week 16","2","1.94","1","0.97","","0","0","103","0.00","0.00"
"Suriname","Week 00","","0.00","","0.00","","0","0","548","0.00","0.00"
"Trinidad & Tobago","Week 19","61","4.53","0","0.00","DEN","0","0","1,347","0.00","0.00"
"Turks & Caicos Islands","Week 16","124","248.00","124","248.00","DEN","0","0","50","0.00","0.00"
"Subtotal","","1,605","8.31","213","1.10","","0","0","19,312","0.00","0.00"
"TOTAL","","             354,518","37.11","        44,759","","","        1,232","                 150","955,422","0.35","0.042"
