"Country or Subregion","aWeek","bProbable","Incidence cRate","Lab. Confirm.","Incidence dRate","Serotype","Severe eDengue","Deaths","PopulationX 1000","(SD/D) x100","CFR"
"Canada","Week 24","0","0.00","0","","","0","0","","","0.00"
"fUnited States","Week 24","47","0.01","47","","DEN","0","0","325,128","","0.00"
"Subtotal","","47","0.01","47","","","0","0","325128","","0.00"
"Belize","Week 00","","0.00","","0.00","","","","348","0.00","0.00"
"Costa Rica","Week 23","1,856","37.11","","0.00","DEN 1,2","0","0","5,002","0.00","0.00"
"El Salvador","Week 24","1,794","27.92","45","0.70","DEN 2","39","0","6,426","2.17","0.00"
"Guatemala","Week 17","794","4.88","98","0.60","DEN 2","3","0","16,255","0.00","0.00"
"Honduras","Week 24","2,679","30.72","0","0.00","DEN","48","0","8,721","0.00","0.00"
"gMexico","Week 24","3,782","3.02","1,793","1.43","DEN 1,2,3","477","3","125,236","12.61","0.08"
"Nicaragua","Week 11","12,169","194.49","621","9.92","DEN","","1","6,257","0.00","0.01"
"Panama","Week 20","2,471","61.96","844","21.16","DEN 1,2","7","0","3,988","0.00","0.00"
"Bolivia","Week 20","6,668","60.48","","0.00","","47","","11,025","0.00","0.00"
"Colombia","Week 24","14,522","29.32","8,357","16.87","DEN","178","51","49,529","1.23","0.35"
"hEcuador","Week 23","8,576","52.85","8,576","52.85","DEN","8","4","16,226","0.09","0.05"
"Peru","Week 24","61,981","198.91","18,057","57.95","DEN 2,3","183","63","31,161","0.30","0.10"
"Venezuela","Week 17","2,722","8.77","309","1.00","DEN","7","0","31,028","0.00","0.00"
"Subtotal","","94,469","67.98","35,299","25.40","","423","118","138,969","0.45","0.12"
"iArgentina ","Week 24","7,028","121.00","249","0.59","DEN 1","0","0","42,155","0.00","0.00"
"Brazil","Week 19","144,326","70.87","","0.00","DEN","82","23","203,657","0.00","0.02"
"kChile","Week 19","5","0.03","5","0.03","DEN 2","0","0","17,924","0.00","0.00"
"Paraguay","Week 22","1,036","14.73","265","3.77","DEN 1","","0","7,033","0.00","0.00"
"Uruguay","Week 24","0","0.00","0","0.00","","0","0","3,430","0.00","0.00"
"Subtotal","","152,395","55.58","519","0.19","","82","23","274,199","0.03","0.02"
"Cuba","Week 00","","0.00","","0.00","","","","11,249","0.00","0.00"
"Dominican Republic","Week 23","502","4.71","","0.00","DEN","23","0","10,652","0.00","0.00"
"jPuerto Rico ","Week 23","9","0.24","9","0.24","DEN 2","0","0","3,680","0.00","0.00"
"Subtotal","","511","2.00","9","0.04","","23","0","25,581","2.67","0.00"
"American Virgin Islands","Week 19","1","0.96","1","0.96","DEN","0","0","104","0.00","0.00"
"Country or Subregion","aWeek","bProbable","Incidence cRate","Lab. Confirm.","Incidence dRate","Serotype","Severe eDengue","Deaths","PopulationX 1000","(SD/D) x100","CFR"
"Anguilla","Week 12","12","75.00","2"," 12.50","DEN","0","0","16","0.00","0.00"
"Antigua & Barbuda","Week 16","1","1.09","0","0.00","DEN","0","0","92","0.00","0.00"
"Aruba","Week 22","690","616.07","7","6.25","DEN","0","0","112","0.00","0.00"
"Bahamas","Week 12","0","0.00","0","0.00","","0","0","388","0.00","0.00"
"Barbados","Week 12","96","32.99","21","7.22","DEN","0","0","291","0.00","0.00"
"Bermuda","Week 16","0","0.00","0","0.00","","0","0","70","0.00","0.00"
"British Virgin Islands","Week 12","16","48.48","7","21.21","DEN","0","0","33","0.00","0.00"
"Cayman Islands","Week 16","7","12.50","0","0.00","DEN","0","0","56","0.00","0.00"
"Curacao","Week 00","0","0.00","0","0.00","","0","0","148","0.00","0.00"
"Dominica","Week 08","10","13.51","0","0.00","DEN","0","0","74","0.00","0.00"
"French Guiana","Week 17","165","69.04","0","0.00","","0","0","239","0.00","0.00"
"Grenada","Week 16","37","33.33","37","33.33","DEN","0","0","111","0.00","0.00"
"Guadaloupe","Week 22","80","19.46","0","0.00","","0","0","411","0.00","0.00"
"Guyana","Week 00","","0.00","","0.00","","0","0","808","0.00","0.00"
"Haiti","Week 00","","0.00","","0.00","","0","0","10,604","0.00","0.00"
"Jamaica","Week 12","18","0.64","0","0.00","DEN","2","0","2,813","0.00","0.00"
"Martinique","Week 22","130","32.66","0","0.00","","0","0","398","0.00","0.00"
"Montserrat","Week 16","0","0.00","0","0.00","","0","0","5","0.00","0.00"
"Netherlands Antilles","Week 00","","0.00","","0.00","","0","0","225","0.00","0.00"
"St. Bartolome","Week 22","24","264.90","0","0.00","","0","0","9","0.00","0.00"
"St. Kitts & Nevis","Week 00","","0.00","","0.00","","0","0","52","0.00","0.00"
"St. Lucia","Week 12","11","6.71","11","6.71","DEN","0","0","164","0.00","0.00"
"St. Martin","Week 22","82","200.00","0","0.00","","0","0","41","0.00","0.00"
"St. Vincent & the Grenadines","Week 16","2","1.94","1","0.97","","0","0","103","0.00","0.00"
"Suriname","Week 00","","0.00","","0.00","","0","0","548","0.00","0.00"
"Trinidad & Tobago","Week 19","61","4.53","0","0.00","DEN","0","0","1,347","0.00","0.00"
"Turks & Caicos Islands","Week 16","124","248.00","124","248.00","DEN","0","0","50","0.00","0.00"
"Subtotal","","1,567","8.11","211","1.09","","2","0","19,312","0.00","0.00"
"TOTAL","","             274,534","28.73","        39,486","","","        1,104","                 145","955,422","0.40","0.053"
