x,y
455,0
456,2
456,6
457,7
457,10
458,11
458,16
459,17
459,20
460,21
460,26
461,27
461,30
462,31
462,35
463,36
463,39
464,40
464,47
465,48
465,51
466,52
466,56
467,57
467,60
468,61
468,65
469,66
469,70
470,71
470,76
471,77
471,80
472,81
472,84
473,85
473,88
474,89
474,95
475,96
475,99
476,100
476,104
477,105
477,108
478,109
478,115
479,116
479,119
480,120
480,124
481,125
481,128
482,129
482,133
483,134
483,137
484,138
484,144
485,145
485,148
486,149
486,152
487,153
487,156
488,157
488,163
489,164
489,167
490,168
490,173
491,174
491,177
492,178
492,183
493,184
493,187
494,188
494,196
495,197
495,201
496,202
496,207
497,208
497,214
498,215
498,230
498,215
497,214
497,208
496,207
496,202
495,201
495,197
494,196
494,188
493,187
493,184
492,183
492,178
491,177
491,174
490,173
490,168
489,167
489,164
488,163
488,157
487,156
487,153
486,152
486,149
485,148
485,145
484,144
484,138
483,137
483,134
482,133
482,129
481,128
481,125
480,124
480,119
478,115
478,109
477,108
477,105
476,104
476,100
475,99
475,96
474,95
474,89
473,88
473,85
472,84
472,81
471,80
471,77
470,76
470,71
469,70
468,61
467,60
467,57
466,56
466,52
465,51
465,48
464,47
464,40
463,39
463,36
462,35
462,31
461,30
461,27
460,26
460,21
459,20
459,17
458,16
458,11
457,10
457,7
456,6
456,2
