"Year","Week","Country.or.Subregion","Probable","Lab.Confirm","Severe.Dengue","Deaths","Serotype","Population.x.1000"
"2017","Week 22","Canada",0,0,0,0,NA,NA
"2017","Week 22","United States",42,42,0,0,"DEN",325128
"2017","Week 00","Belize",NA,NA,NA,NA,NA,348
"2017","Week 21","Costa Rica",1569,0,0,0,"DEN 1,2",5002
"2017","Week 22","El Salvador",1604,37,30,0,"DEN",6426
"2017","Week 17","Guatemala",794,98,3,0,"DEN 2",16255
"2017","Week 22","Honduras",2291,0,42,0,"DEN",8721
"2017","Week 19","Mexico",2415,913,297,3,"DEN 1,2,3",125236
"2017","Week 11","Nicaragua",12169,621,NA,1,"DEN",6257
"2017","Week 20","Panama",2471,844,7,0,"DEN 1,2",3988
"2017","Week 17","Bolivia",4260,NA,34,NA,NA,11025
"2017","Week 22","Colombia",13687,8357,142,45,"DEN",49529
"2017","Week 21","Ecuador",8012,8012,8,4,"DEN",16226
"2017","Week 21","Peru",53017,15085,159,58,"DEN 2,3",31161
"2017","Week 17","Venezuela",2722,309,7,0,"DEN",31028
"2017","Week 21","Argentina",6779,238,0,0,"DEN 1",42155
"2017","Week 19","Brazil",144326,NA,82,23,"DEN",203657
"2017","Week 19","Chile",5,5,0,0,"DEN 2",17924
"2017","Week 17","Paraguay",938,252,NA,0,"DEN 1",7033
"2017","Week 20","Uruguay",0,0,0,0,NA,3430
"2017","Week 00","Cuba",NA,NA,NA,NA,NA,11249
"2017","Week 21","Dominican Republic",433,NA,21,1,"DEN",10652
"2017","Week 21","Puerto Rico",9,9,0,0,"DEN 2",3680
"2017","Week 19","American Virgin Islands",1,1,0,0,"DEN",104
"2017","Week 12","Anguilla",12,2,0,0,"DEN",16
"2017","Week 16","Antigua & Barbuda",1,0,0,0,"DEN",92
"2017","Week 22","Aruba",690,7,0,0,"DEN",112
"2017","Week 12","Bahamas",0,0,0,0,NA,388
"2017","Week 12","Barbados",96,21,0,0,"DEN",291
"2017","Week 16","Bermuda",0,0,0,0,NA,70
"2017","Week 12","British Virgin Islands",16,7,0,0,"DEN",33
"2017","Week 16","Cayman Islands",7,0,0,0,"DEN",56
"2017","Week 00","Curacao",0,0,0,0,NA,148
"2017","Week 08","Dominica",10,0,0,0,"DEN",74
"2017","Week 00","French Guiana",NA,NA,0,0,NA,239
"2017","Week 16","Grenada",37,37,0,0,"DEN",111
"2017","Week 00","Guadaloupe",NA,NA,0,0,NA,411
"2017","Week 00","Guyana",NA,NA,0,0,NA,808
"2017","Week 00","Haiti",NA,NA,0,0,NA,10604
"2017","Week 12","Jamaica",18,0,2,0,"DEN",2813
"2017","Week 00","Martinique",NA,NA,0,0,NA,398
"2017","Week 16","Montserrat",0,0,0,0,NA,5
"2017","Week 00","Netherlands Antilles",NA,NA,0,0,NA,225
"2017","Week 00","St. Bartolome",NA,NA,0,0,NA,9
"2017","Week 00","St. Kitts & Nevis",NA,NA,0,0,NA,52
"2017","Week 12","St. Lucia",11,11,0,0,"DEN",164
"2017","Week 04","St. Martin",0,0,0,0,NA,41
"2017","Week 16","St. Vincent & the Grenadines",2,1,0,0,NA,103
"2017","Week 00","Suriname",NA,NA,0,0,NA,548
"2017","Week 19","Trinidad & Tobago",61,0,0,0,"DEN",1347
"2017","Week 16","Turks & Caicos Islands",124,124,0,0,"DEN",50
