"Country.or.Subregion","Week","Probable","Lab.Confirm","Serotype","Severe.Dengue","Deaths","Population.x.1000"
"Canada","Week 33",0,0,NA,0,0,NA
"United States","Week 33",100,100,"DEN",0,0,325128
"Belize","Week 29",15,4,"DEN",NA,0,348
"Costa Rica","Week 30",3458,NA,"DEN 1,2",0,0,5002
"El Salvador","Week 33",2627,104,"DEN 2",3,0,6426
"Guatemala","Week 33",2280,386,"DEN 1,2,3,4",15,NA,16255
"Honduras","Week 33",3974,0,"DEN 1, 2, 3",73,0,8721
"Mexico","Week 33",28302,3945,"DEN 1,2,3",154,9,125236
"Nicaragua","Week 33",45243,1674,"DEN 2",NA,2,6257
"Panama","Week 32",4438,2039,"DEN 1,2",8,0,3988
"Bolivia","Week 32",7910,NA,NA,77,NA,11025
"Colombia","Week 33",18963,8357,"DEN",207,35,49529
"Ecuador","Week 32",10198,10198,"DEN",12,4,16226
"Peru","Week 33",71517,24023,"DEN 2,3",232,80,31161
"Venezuela","Week 17",2722,309,"DEN",7,0,31028
"Argentina","Week 32",7618,254,"DEN 1,2,3",0,0,42155
"Brazil","Week 33",214990,NA,"DEN 1,2,3,4",169,83,203657
"Chile","Week 28",5,5,"DEN 2",0,0,17924
"Paraguay","Week 32",1328,305,"DEN 1",NA,0,7033
"Uruguay","Week 33",0,0,NA,0,0,3430
"Cuba","Week 25",270,NA,"DEN 2,3",NA,NA,11249
"Dominican Republic","Week 30",729,NA,"DEN",41,0,10652
"Puerto Rico","Week 33",9,9,"DEN 2",0,0,3680
"American Virgin Islands","Week 33",1,1,"DEN",0,0,104
"Anguilla","Week 28",18,2,"DEN",0,0,16
"Antigua & Barbuda","Week 28",1,0,"DEN",0,0,92
"Aruba","Week 28",688,9,"DEN",0,0,112
"Bahamas","Week 28",4,0,"DEN",0,0,388
"Barbados","Week 28",192,29,"DEN",0,0,291
"Bermuda","Week 28",0,0,NA,0,0,70
"British Virgin Islands","Week 32",42,42,"DEN",0,0,33
"Cayman Islands","Week 28",23,0,"DEN",0,0,56
"Curacao","Week 00",0,0,NA,0,0,148
"Dominica","Week 28",31,0,"DEN",0,0,74
"French Guiana","Week 17",165,0,"DEN",0,0,239
"Grenada","Week 28",80,80,"DEN",0,0,111
"Guadaloupe","Week 26",83,0,"DEN",0,0,411
"Guyana","Week 00",NA,NA,NA,0,0,808
"Haiti","Week 00",NA,NA,NA,0,0,10604
"Jamaica","Week 33",70,14,"DEN 3",0,0,2813
"Martinique","Week 26",73,1,"DEN 2",0,0,398
"Montserrat","Week 28",0,0,NA,0,0,5
"Netherlands Antilles","Week 28",0,0,NA,0,0,225
"St. Bartolome","Week 26",30,0,NA,0,0,9
"St. Kitts & Nevis","Week 28",7,0,NA,0,0,52
"St. Lucia","Week 24",14,14,"DEN",0,0,164
"St. Martin","Week 26",114,0,NA,0,0,41
"St. Vincent & the Grenadines","Week 28",3,2,NA,0,0,103
"Suriname","Week 00",NA,NA,NA,0,0,548
"Trinidad & Tobago","Week 28",206,3,NA,0,0,1347
"Turks & Caicos Islands","Week 24",157,157,"DEN",0,0,50
