"Predicted Shock Arrival Time","Difference (hrs)","Confidence (%)","Submitted On","Lead Time (hrs)","Predicted Geomagnetic Storm Parameter(s)","Method","Submitted By",,CME,Actual Shock Arrival Time,Observed Geomagnetic Storm Parameters,Max Kp,Dst min. in nT,Dst min. time,CME Note
"2017-09-06T14:51Z(-7.0h, +7.0h)","-8.28","----","2017-09-05T01:38Z","45.50","Max Kp Range: 5.0 - 7.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail",2017-09-04T203600-CME-001,2017-09-06T2308Z,,4.0,-23,2017-09-07T0900Z,AssociatedwithM5.5flarefromAR12673.CMEstarttimewasupdatedfrom2017-09-04T2306Z.NotethattherewasalsoaCMEstartingon2017-09-04T1939Zthatwasslightlyslowerbutinasimilardirectionandwaslikely""merged""withthefaster2017-09-04T2036ZCME.
"2017-09-06T17:07Z","-6.02","----","2017-09-05T02:27Z","44.68","----","SARM ","Marlon Nunez (UMA)"," Detail",2017-09-04T203600-CME-001,2017-09-06T2308Z,,4.0,-23,2017-09-07T0900Z,AssociatedwithM5.5flarefromAR12673.CMEstarttimewasupdatedfrom2017-09-04T2306Z.NotethattherewasalsoaCMEstartingon2017-09-04T1939Zthatwasslightlyslowerbutinasimilardirectionandwaslikely""merged""withthefaster2017-09-04T2036ZCME.
"2017-09-06T12:00Z(-8.0h, +8.0h)","-11.13","90.0","2017-09-05T08:42Z","38.43","Max Kp Range: 5.0 - 8.0","Other (SIDC) ","Yaireska Collado (GSFC)"," Detail",2017-09-04T203600-CME-001,2017-09-06T2308Z,,4.0,-23,2017-09-07T0900Z,AssociatedwithM5.5flarefromAR12673.CMEstarttimewasupdatedfrom2017-09-04T2306Z.NotethattherewasalsoaCMEstartingon2017-09-04T1939Zthatwasslightlyslowerbutinasimilardirectionandwaslikely""merged""withthefaster2017-09-04T2036ZCME.
"2017-09-07T06:00Z","6.87","----","2017-09-05T08:44Z","38.40","Max Kp Range: 5.0 - 7.0"," Other ","Yaireska Collado (GSFC)"," Detail",2017-09-04T203600-CME-001,2017-09-06T2308Z,,4.0,-23,2017-09-07T0900Z,AssociatedwithM5.5flarefromAR12673.CMEstarttimewasupdatedfrom2017-09-04T2306Z.NotethattherewasalsoaCMEstartingon2017-09-04T1939Zthatwasslightlyslowerbutinasimilardirectionandwaslikely""merged""withthefaster2017-09-04T2036ZCME.
"2017-09-06T06:45Z(-4.0h, +4.0h)","-16.38","----","2017-09-05T09:40Z","37.47","----"," EAM (Effective Acceleration Model) ","Evangelos Paouris (UoA)"," Detail",2017-09-04T203600-CME-001,2017-09-06T2308Z,,4.0,-23,2017-09-07T0900Z,AssociatedwithM5.5flarefromAR12673.CMEstarttimewasupdatedfrom2017-09-04T2306Z.NotethattherewasalsoaCMEstartingon2017-09-04T1939Zthatwasslightlyslowerbutinasimilardirectionandwaslikely""merged""withthefaster2017-09-04T2036ZCME.
"2017-09-07T06:00Z(-6.0h, +6.0h)","6.87","80.0","2017-09-05T10:20Z","36.80","----","DBM + ESWF ","Manuela Temmer (UNIGRAZ)"," Detail",2017-09-04T203600-CME-001,2017-09-06T2308Z,,4.0,-23,2017-09-07T0900Z,AssociatedwithM5.5flarefromAR12673.CMEstarttimewasupdatedfrom2017-09-04T2306Z.NotethattherewasalsoaCMEstartingon2017-09-04T1939Zthatwasslightlyslowerbutinasimilardirectionandwaslikely""merged""withthefaster2017-09-04T2036ZCME.
"2017-09-06T18:00Z","-5.13","----","2017-09-05T12:30Z","34.63","Max Kp Range: 5.0 - 7.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Yaireska Collado (GSFC)"," Detail",2017-09-04T203600-CME-001,2017-09-06T2308Z,,4.0,-23,2017-09-07T0900Z,AssociatedwithM5.5flarefromAR12673.CMEstarttimewasupdatedfrom2017-09-04T2306Z.NotethattherewasalsoaCMEstartingon2017-09-04T1939Zthatwasslightlyslowerbutinasimilardirectionandwaslikely""merged""withthefaster2017-09-04T2036ZCME.
"2017-09-06T22:00Z(-6.0h, +6.0h)","-1.13","70.0","2017-09-05T14:45Z","32.38","Max Kp Range: 5.0 - 8.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail",2017-09-04T203600-CME-001,2017-09-06T2308Z,,4.0,-23,2017-09-07T0900Z,AssociatedwithM5.5flarefromAR12673.CMEstarttimewasupdatedfrom2017-09-04T2306Z.NotethattherewasalsoaCMEstartingon2017-09-04T1939Zthatwasslightlyslowerbutinasimilardirectionandwaslikely""merged""withthefaster2017-09-04T2036ZCME.
"2017-09-07T03:45Z(-7.0h, +7.0h)","4.62","----","2017-09-05T19:34Z","27.57","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (GSFC SWRC) ","Barbara Thompson (GSFC)"," Detail",2017-09-04T203600-CME-001,2017-09-06T2308Z,,4.0,-23,2017-09-07T0900Z,AssociatedwithM5.5flarefromAR12673.CMEstarttimewasupdatedfrom2017-09-04T2306Z.NotethattherewasalsoaCMEstartingon2017-09-04T1939Zthatwasslightlyslowerbutinasimilardirectionandwaslikely""merged""withthefaster2017-09-04T2036ZCME.
"2017-09-07T09:02Z(-8.1h, +14.1h)","9.90","89.0","2017-09-05T20:31Z","26.62","Max Kp Range: 4.0 - 7.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Barbara Thompson (GSFC)"," Detail",2017-09-04T203600-CME-001,2017-09-06T2308Z,,4.0,-23,2017-09-07T0900Z,AssociatedwithM5.5flarefromAR12673.CMEstarttimewasupdatedfrom2017-09-04T2306Z.NotethattherewasalsoaCMEstartingon2017-09-04T1939Zthatwasslightlyslowerbutinasimilardirectionandwaslikely""merged""withthefaster2017-09-04T2036ZCME.
