"Predicted Shock Arrival Time","Difference (hrs)","Confidence (%)","Submitted On","Lead Time (hrs)","Predicted Geomagnetic Storm Parameter(s)","Method","Submitted By",,CME,Actual Shock Arrival Time,Observed Geomagnetic Storm Parameters,Max Kp,Dst min. in nT,Dst min. time,CME Note
"2015-11-07T08:40Z(-10.0h, +10.0h)","15.10","----","2015-11-04T21:33Z","44.02","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (GSFC SWRC) ","Yihua Zheng (GSFC)"," Detail",2015-11-04T142400-CME-001,2015-11-06T1734Z,,6.0,-87,2015-11-07T0800Z,CMEisconnectedtoaM3.7flareatAR12443veryclosetodiskcenterGOESlightcurveisalongdurationeventwithextensivepost-eventloopsvisibleinAIA131.LargefastwaveemanatingfromflaresitedimmingtothewestandnorthoftheARinAIA193darkabsorptionmaterialejectedatwestendofARseeninAIA304
"2015-11-07T04:00Z(-12.0h, +12.0h)","10.43","50.0","2015-11-04T21:39Z","43.92","Max Kp Range: 3.0 - 6.0","Other (SIDC) ","Yihua Zheng (GSFC)"," Detail",2015-11-04T142400-CME-001,2015-11-06T1734Z,,6.0,-87,2015-11-07T0800Z,CMEisconnectedtoaM3.7flareatAR12443veryclosetodiskcenterGOESlightcurveisalongdurationeventwithextensivepost-eventloopsvisibleinAIA131.LargefastwaveemanatingfromflaresitedimmingtothewestandnorthoftheARinAIA193darkabsorptionmaterialejectedatwestendofARseeninAIA304
"2015-11-07T02:26Z(-8.2h, +7.78h)","8.87","100.0","2015-11-05T01:30Z","40.07","Max Kp Range: 4.0 - 6.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Karin Muglach (GSFC)"," Detail",2015-11-04T142400-CME-001,2015-11-06T1734Z,,6.0,-87,2015-11-07T0800Z,CMEisconnectedtoaM3.7flareatAR12443veryclosetodiskcenterGOESlightcurveisalongdurationeventwithextensivepost-eventloopsvisibleinAIA131.LargefastwaveemanatingfromflaresitedimmingtothewestandnorthoftheARinAIA193darkabsorptionmaterialejectedatwestendofARseeninAIA304
"2015-11-07T15:00Z","21.43","----","2015-11-05T03:22Z","38.20","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail",2015-11-04T142400-CME-001,2015-11-06T1734Z,,6.0,-87,2015-11-07T0800Z,CMEisconnectedtoaM3.7flareatAR12443veryclosetodiskcenterGOESlightcurveisalongdurationeventwithextensivepost-eventloopsvisibleinAIA131.LargefastwaveemanatingfromflaresitedimmingtothewestandnorthoftheARinAIA193darkabsorptionmaterialejectedatwestendofARseeninAIA304
"2015-11-07T13:00Z(-6.0h, +6.0h)","19.43","90.0","2015-11-05T06:35Z","34.98","Max Kp Range: 6.0 - 4.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail",2015-11-04T142400-CME-001,2015-11-06T1734Z,,6.0,-87,2015-11-07T0800Z,CMEisconnectedtoaM3.7flareatAR12443veryclosetodiskcenterGOESlightcurveisalongdurationeventwithextensivepost-eventloopsvisibleinAIA131.LargefastwaveemanatingfromflaresitedimmingtothewestandnorthoftheARinAIA193darkabsorptionmaterialejectedatwestendofARseeninAIA304
"2015-11-07T14:30Z(-3.5h, +5.5h)","20.93","80.0","2015-11-05T09:47Z","31.78","----","DBM ","Manuela Temmer (UNIGRAZ)"," Detail",2015-11-04T142400-CME-001,2015-11-06T1734Z,,6.0,-87,2015-11-07T0800Z,CMEisconnectedtoaM3.7flareatAR12443veryclosetodiskcenterGOESlightcurveisalongdurationeventwithextensivepost-eventloopsvisibleinAIA131.LargefastwaveemanatingfromflaresitedimmingtothewestandnorthoftheARinAIA193darkabsorptionmaterialejectedatwestendofARseeninAIA304
"2015-11-07T00:00Z","6.43","----","2015-11-05T13:08Z","28.43","----","WSA-ENLIL + Cone (BoM) ","Leila Mays (GSFC)"," Detail",2015-11-04T142400-CME-001,2015-11-06T1734Z,,6.0,-87,2015-11-07T0800Z,CMEisconnectedtoaM3.7flareatAR12443veryclosetodiskcenterGOESlightcurveisalongdurationeventwithextensivepost-eventloopsvisibleinAIA131.LargefastwaveemanatingfromflaresitedimmingtothewestandnorthoftheARinAIA193darkabsorptionmaterialejectedatwestendofARseeninAIA304
"2015-11-06T22:25Z","4.85","----","2015-11-05T22:06Z","19.47","----","SPM2 ","Xinhua Zhao (NSSC CAS)"," Detail",2015-11-04T142400-CME-001,2015-11-06T1734Z,,6.0,-87,2015-11-07T0800Z,CMEisconnectedtoaM3.7flareatAR12443veryclosetodiskcenterGOESlightcurveisalongdurationeventwithextensivepost-eventloopsvisibleinAIA131.LargefastwaveemanatingfromflaresitedimmingtothewestandnorthoftheARinAIA193darkabsorptionmaterialejectedatwestendofARseeninAIA304
"2015-11-07T03:06Z","9.53","----","2015-11-05T22:09Z","19.42","----","SPM ","Xinhua Zhao (NSSC CAS)"," Detail",2015-11-04T142400-CME-001,2015-11-06T1734Z,,6.0,-87,2015-11-07T0800Z,CMEisconnectedtoaM3.7flareatAR12443veryclosetodiskcenterGOESlightcurveisalongdurationeventwithextensivepost-eventloopsvisibleinAIA131.LargefastwaveemanatingfromflaresitedimmingtothewestandnorthoftheARinAIA193darkabsorptionmaterialejectedatwestendofARseeninAIA304
"2015-11-07T06:34Z","13.00","80.0","---","---","Max Kp Range: 4.25 - 5.4"," Average of all Methods ","Auto Generated (CCMC)"," Detail",2015-11-04T142400-CME-001,2015-11-06T1734Z,,6.0,-87,2015-11-07T0800Z,CMEisconnectedtoaM3.7flareatAR12443veryclosetodiskcenterGOESlightcurveisalongdurationeventwithextensivepost-eventloopsvisibleinAIA131.LargefastwaveemanatingfromflaresitedimmingtothewestandnorthoftheARinAIA193darkabsorptionmaterialejectedatwestendofARseeninAIA304
