"RDHS","January","February","March","April","May","June","July","August","September","October","November","December","Total Cases"
"Colombo","2734","1900","2467","2570","3333","5372","7471","3620","1251","823","1131","595","33267"
"Gampaha","1635","1087","1870","2072","3168","4901","9039","3553","1246","779","1069","431","30850"
"Kalutara","581","448","836","739","946","1248","2612","1477","663","337","441","81","10409"
"Kandy","252","207","369","443","862","2314","3855","2354","1090","821","884","387","13838"
"Matale","129","103","145","120","165","436","766","534","167","177","178","71","2991"
"Nuwara Eliya","50","32","42","37","57","94","294","159","39","27","22","19","872"
"Galle","872","567","424","265","394","623","1072","877","364","160","254","86","5958"
"Hambantota","301","225","339","333","272","384","529","359","237","174","244","68","3465"
"Matara","431","382","337","354","488","581","1789","1029","403","174","166","38","6172"
"Jaffna","625","478","863","499","301","288","376","290","341","593","509","289","5452"
"Kilinochchi","55","84","35","46","21","21","90","59","30","17","28","9","495"
"Mannar","147","91","65","90","60","23","23","5","3","6","8","5","526"
"Vavuniya","58","76","143","83","65","81","137","92","52","48","97","49","981"
"Mulativu","37","32","21","16","27","37","71","50","23","12","16","6","348"
"Batticaloa","217","465","828","1182","869","465","273","197","143","140","268","184","5231"
"Ampara","51","51","59","72","75","105","225","100","62","41","31","9","881"
"Trincomalee","387","661","2114","936","158","136","154","99","68","64","84","23","4884"
"Kurunegala","403","381","505","629","1281","2030","2300","1487","576","368","733","239","10932"
"Puttalam","196","132","212","318","612","783","1304","1192","419","501","1037","473","7179"
"Anuradhapura","166","147","255","193","249","378","709","299","96","77","126","49","2744"
"Polonnaruwa","54","64","98","172","160","190","320","104","54","51","59","14","1340"
"Badulla","226","130","139","167","186","400","1220","490","273","148","163","50","3592"
"Moneragala","97","97","112","126","164","449","569","348","300","357","334","108","3061"
"Ratnapura","439","360","507","519","1161","1908","3175","1661","740","251","189","56","10966"
"Kegalle","210","230","377","332","700","1945","2551","1684","746","264","229","32","9300"
"Kalmunai","574","294","378","197","162","127","197","151","128","159","190","143","2700"
"TOTAL","10927","8724","13540","12510","15936","25319","41121","22270","9514","6569","8490","3514","178434"
""
