"Month","Week Ending","Week","Cases"
"January","01.01.2016","1","1163"
"January","08.01.2016","2","1253"
"January","15.01.2016","3","1274"
"January","22.01.2016","4","1563"
"January","29.01.2016","5","1441"
"February","05.02.2016","6","1114"
"February","12.02.2016","7","1352"
"February","19.02.2016","8","1078"
"February","26.02.2016","9","895"
"March","04.03.2016","10","823"
"March","11.03.2016","11","635"
"March","18.03.2016","12","745"
"March","25.03.2016","13","493"
"April","01.04.2016","14","692"
"April","08.04.2016","15","600"
"April","15.04.2016","16","294"
"April","22.04.2016","17","573"
"April","29.04.2016","18","673"
"May","06.05.2016","19","575"
"May","13.05.2016","20","577"
"May","20.05.2016","21","611"
"May","27.05.2016","22","659"
"June","03.06.2016","23","861"
"June","10.06.2016","24","1055"
"June","17.06.2016","25","1078"
"June","24.06.2016","26","1737"
"July","01.07.2016","27","1990"
"July","08.07.2016","28","1943"
"July","15.07.2016","29","2503"
"July","22.07.2016","30","2291"
"July","29.07.2016","31","1988"
"August","05.08.2016","32","1563"
"August","12.08.2016","33","1329"
"August","19.08.2016","34","1037"
"August","26.08.2016","35","944"
"September","02.09.2016","36","814"
"September","09.09.2016","37","835"
"September","16.09.2016","38","620"
"September","23.09.2016","39","742"
"September","30.09.2016","40","618"
"October","07.10.2016","41","656"
"October","14.10.2016","42","601"
"October","21.10.2016","43","449"
"October","28.10.2016","44","479"
"November","04.11.2016","45","530"
"November","11.11.2016","46","483"
"November","18.11.2016","47","494"
"November","25.11.2016","48","750"
"December","02.12.2016","49","763"
"December","09.12.2016","50","1326"
"December","16.12.2016","51","1392"
"December","23.12.2016","52","1838"
"December","30.12.2016","53","2358"
""
