"RDHS","January","February","March","April","May","June","July","August","September","October","November","December","Total Cases"
"Colombo","1177","616","468","84","","","","","","","","","2345"
"Gampaha","711","404","239","34","","","","","","","","","1388"
"Kalutara","431","314","302","15","","","","","","","","","1062"
"Kandy","481","271","178","30","","","","","","","","","960"
"Matale","139","69","68","11","","","","","","","","","287"
"Nuwara Eliya","23","16","10","4","","","","","","","","","53"
"Galle","76","38","15","0","","","","","","","","","129"
"Hambantota","126","120","125","19","","","","","","","","","390"
"Matara","136","120","94","13","","","","","","","","","363"
"Jaffna","637","310","200","17","","","","","","","","","1164"
"Kilinochchi","38","30","27","2","","","","","","","","","97"
"Mannar","12","2","5","3","","","","","","","","","22"
"Vavuniya","71","46","42","3","","","","","","","","","162"
"Mulativu","10","2","2","0","","","","","","","","","14"
"Batticaloa","598","496","548","116","","","","","","","","","1758"
"Ampara","24","14","14","1","","","","","","","","","53"
"Trincomalee","94","88","37","1","","","","","","","","","220"
"Kurunegala","505","309","175","30","","","","","","","","","1019"
"Puttalam","537","270","124","1","","","","","","","","","932"
"Anuradhapura","107","120","54","0","","","","","","","","","281"
"Polonnaruwa","45","20","17","6","","","","","","","","","88"
"Badulla","76","39","23","4","","","","","","","","","142"
"Moneragala","185","120","81","8","","","","","","","","","394"
"Ratnapura","178","199","138","20","","","","","","","","","535"
"Kegalle","188","114","99","13","","","","","","","","","414"
"Kalmunai","573","230","120","25","","","","","","","","","948"
"TOTAL","7178","4377","3205","460","","","","","","","","","15220"
""
