"RDHS","January","February","March","April","May","June","July","August","September","October","November","December","Total Cases"
"Colombo","757","845","791","610","748","830","1168","1298","685","619","1173","1259","10783"
"Gampaha","463","321","289","212","319","273","385","394","245","237","383","308","3829"
"Kalutara","159","153","168","115","164","140","178","210","148","108","166","219","1928"
"Kandy","193","215","134","83","156","186","191","240","110","59","96","100","1763"
"Matale","48","47","49","32","30","37","52","66","32","24","39","39","495"
"N Eliya","17","32","30","15","16","21","27","40","13","16","18","27","272"
"Galle","57","60","92","57","108","100","84","93","79","34","68","108","940"
"Hambantota","32","35","40","30","22","21","28","43","23","24","22","25","345"
"Matara","48","75","65","28","36","31","54","34","27","19","32","37","486"
"Jaffna","100","77","84","115","70","30","23","43","35","48","52","125","802"
"Kilinochchi","7","4","7","5","4","7","0","16","7","3","3","6","69"
"Mannar","23","10","7","4","10","2","1","2","4","5","1","1","70"
"Vavuniya","11","8","12","3","8","6","7","4","4","5","10","15","93"
"Mulativu","12","7","17","18","20","12","6","8","9","6","10","2","127"
"Batticaloa","52","74","93","67","79","48","32","26","19","22","14","30","556"
"Ampara","14","17","20","7","11","15","26","26","25","18","28","35","242"
"Trincomalee","25","45","31","23","20","5","15","13","5","4","7","14","207"
"Kurunegala","720","485","303","134","194","195","154","163","105","104","98","117","2772"
"Puttalam","175","170","98","67","53","56","46","83","39","31","51","55","924"
"Apura","80","74","90","36","47","28","23","33","38","28","30","63","570"
"Polonnaruwa","34","40","47","41","28","19","43","76","47","41","45","46","507"
"Badulla","42","49","45","32","46","46","77","58","38","26","50","33","542"
"Moneragala","34","19","27","23","17","18","28","26","19","24","20","16","271"
"Ratnapura","131","148","220","217","253","185","169","146","90","44","70","56","1729"
"Kegalle","134","106","99","91","113","104","98","137","62","83","117","93","1237"
"Kalmunai","94","142","138","44","42","12","9","4","4","4","8","3","504"
"TOTAL","3462","3258","2996","2109","2614","2427","2924","3282","1912","1636","2611","2832","32063"
""
