"RDHS","January","February","March","April","May","June","July","August","September","October","November","December","Total Cases"
"Colombo","1066","744","630","412","583","1251","1314","1231","525","726","853","682","10017"
"Gampaha","847","640","447","367","397","1180","969","884","479","570","737","489","8006"
"Kalutara","180","260","209","205","182","364","348","339","156","192","213","143","2791"
"Kandy","270","194","114","122","194","298","287","355","135","177","185","186","2517"
"Matale","45","47","59","35","32","81","29","62","46","44","47","69","596"
"N Eliya","24","35","41","25","18","58","30","30","21","17","30","13","342"
"Galle","105","105","161","90","99","221","217","241","78","60","78","58","1513"
"Hambantota","58","66","45","37","31","59","51","78","33","53","60","33","604"
"Matara","186","147","155","94","84","147","186","241","141","196","158","100","1835"
"Jaffna","91","40","43","24","27","34","26","36","41","143","205","184","894"
"Kilinochchi","8","2","5","3","19","16","8","11","6","2","5","8","93"
"Mannar","38","16","10","9","6","15","19","11","2","6","21","33","186"
"Vavuniya","13","5","5","2","5","2","3","16","20","13","9","11","104"
"Mulativu","2","1","1","1","3","4","5","3","2","0","6","14","42"
"Batticaloa","263","116","91","32","35","32","11","21","7","26","36","47","717"
"Ampara","18","6","4","9","21","15","29","13","9","11","14","6","155"
"Trincomalee","23","23","26","6","8","16","8","13","7","5","15","18","168"
"Kurunegala","159","148","114","100","140","342","406","401","320","311","497","599","3537"
"Puttalam","131","101","69","55","98","178","98","142","253","159","251","265","1800"
"Apura","38","37","36","26","29","56","31","34","26","27","34","119","493"
"Polonnaruwa","25","27","21","11","17","37","22","38","12","21","15","43","289"
"Badulla","40","22","13","11","20","57","48","40","35","41","49","54","430"
"Moneragala","16","23","23","15","22","38","33","36","16","17","29","19","287"
"Ratnapura","126","153","160","183","257","874","621","648","310","194","262","150","3938"
"Kegalle","173","144","121","146","213","557","385","331","174","148","156","157","2705"
"Kalmunai","41","43","25","8","10","23","9","11","3","22","69","138","402"
"TOTAL","3986","3145","2628","2028","2550","5955","5193","5266","2857","3181","4034","3638","44461"
""
