"RDHS","January","February","March","April","May","June","July","August","September","October","November","December","Total Cases"
"Colombo","584","606","294","224","296","700","1530","881","312","267","97","146","5937"
"Gampaha","608","623","306","205","295","381","686","417","174","101","77","87","3960"
"Kalutara","121","124","119","114","185","294","420","215","122","56","23","19","1812"
"Kandy","211","174","116","89","114","176","341","230","91","64","22","16","1644"
"Matale","138","113","35","46","35","35","97","43","23","21","19","45","650"
"N Eliya","28","11","15","6","14","13","45","44","21","21","6","3","227"
"Galle","36","79","86","115","83","145","228","169","105","49","11","7","1113"
"Hambantota","49","128","85","45","29","82","161","122","67","24","7","10","809"
"Matara","36","44","41","29","28","67","148","110","62","25","15","9","614"
"Jaffna","858","878","170","145","82","237","236","96","40","78","79","121","3020"
"Kilinochchi","0","0","0","1","0","4","5","18","12","2","5","6","53"
"Mannar","26","23","14","16","9","55","94","222","62","28","14","5","568"
"Vavuniya","336","91","40","14","6","21","27","22","12","3","3","4","579"
"Mulativu","0","0","0","0","1","0","2","8","7","3","1","1","23"
"Batticaloa","305","314","202","184","48","59","59","25","4","8","13","29","1250"
"Ampara","12","13","25","19","9","6","30","21","19","5","1","8","168"
"Trincomalee","233","283","145","60","22","38","89","46","21","17","11","22","987"
"Kurunegala","197","142","99","54","100","151","300","214","78","47","21","26","1429"
"Puttalam","208","189","86","50","51","106","137","82","49","31","25","45","1059"
"Apura","267","296","131","48","21","38","83","67","60","33","26","40","1110"
"Polonnaruwa","33","42","34","50","60","61","51","30","21","8","5","7","402"
"Badulla","71","68","49","47","69","118","372","319","120","43","26","40","1342"
"Moneragala","50","39","55","67","53","93","314","219","65","50","42","24","1071"
"Ratnapura","93","141","234","270","274","432","492","438","246","118","53","46","2837"
"Kegalle","90","136","76","49","53","117","161","104","64","25","22","21","918"
"Kalmunai","215","174","71","57","13","8","5","9","6","10","23","15","606"
"TOTAL","4805","4731","2528","2004","1950","3437","6113","4171","1863","1137","647","802","34188"
""
