"Planning Area","Administrative.Region","Neighborhood","Population","Ref."
"Planning Area 1.0","I Portuária","Caju","48,664","[2]"
"Planning Area 1.0","I Portuária","Gamboa","48,664","[2]"
"Planning Area 1.0","I Portuária","Santo Cristo","48,664","[2]"
"Planning Area 1.0","I Portuária","Saúde","48,664","[2]"
"Planning Area 1.0","II Centro","Centro","41,142","[3]"
"Planning Area 1.0","III Rio Comprido","Catumbi","78,975","[4]"
"Planning Area 1.0","III Rio Comprido","Cidade Nova","78,975","[4]"
"Planning Area 1.0","III Rio Comprido","Estácio","78,975","[4]"
"Planning Area 1.0","III Rio Comprido","Rio Comprido","78,975","[4]"
"Planning Area 2.1","IV Botafogo","Botafogo","239,729","[5]"
"Planning Area 2.1","IV Botafogo","Catete","239,729","[5]"
"Planning Area 2.1","IV Botafogo","Cosme Velho","239,729","[5]"
"Planning Area 2.1","IV Botafogo","Flamengo","239,729","[5]"
"Planning Area 2.1","IV Botafogo","Glória","239,729","[5]"
"Planning Area 2.1","IV Botafogo","Humaitá","239,729","[5]"
"Planning Area 2.1","IV Botafogo","Laranjeiras","239,729","[5]"
"Planning Area 2.1","IV Botafogo","Urca","239,729","[5]"
"Planning Area 2.1","V Copacabana","Copacabana","161,191","[6]"
"Planning Area 2.1","V Copacabana","Leme","161,191","[6]"
"Planning Area 2.1","VI Lagoa","Gávea","167,774","[7]"
"Planning Area 2.1","VI Lagoa","Ipanema","167,774","[7]"
"Planning Area 2.1","VI Lagoa","Jardim Botânico","167,774","[7]"
"Planning Area 2.1","VI Lagoa","Lagoa","167,774","[7]"
"Planning Area 2.1","VI Lagoa","Leblon","167,774","[7]"
"Planning Area 2.1","VI Lagoa","São Conrado","167,774","[7]"
"Planning Area 2.1","VI Lagoa","Vidigal","167,774","[7]"
"Planning Area 1.0","VII São Cristovão","Benfica","84,908","[8]"
"Planning Area 1.0","VII São Cristovão","Mangueira","84,908","[8]"
"Planning Area 1.0","VII São Cristovão","São Cristóvão","84,908","[8]"
"Planning Area 1.0","VII São Cristovão","Vasco da Gama","84,908","[8]"
"Planning Area 2.2","VIII Tijuca","Alto da Boa Vista","181,810","[9]"
"Planning Area 2.2","VIII Tijuca","Praça da Bandeira","181,810","[9]"
"Planning Area 2.2","VIII Tijuca","Tijuca","181,810","[9]"
"Planning Area 2.2","IX Vila Isabel","Andaraí","189,310","[10]"
"Planning Area 2.2","IX Vila Isabel","Grajaú","189,310","[10]"
"Planning Area 2.2","IX Vila Isabel","Maracanã","189,310","[10]"
"Planning Area 2.2","IX Vila Isabel","Vila Isabel","189,310","[10]"
"Planning Area 3.1","X Ramos","Bonsucesso","153,177","[11]"
"Planning Area 3.1","X Ramos","Manguinhos","153,177","[11]"
"Planning Area 3.1","X Ramos","Olaria","153,177","[11]"
"Planning Area 3.1","X Ramos","Ramos","153,177","[11]"
"Planning Area 3.1","XI Penha","Brás de Pina","185,716","[12]"
"Planning Area 3.1","XI Penha","Penha","185,716","[12]"
"Planning Area 3.1","XI Penha","Penha Circular","185,716","[12]"
"Planning Area 3.2","XII Inhaúma","Del Castilho","134,349","[13]"
"Planning Area 3.2","XII Inhaúma","Engenho da Rainha","134,349","[13]"
"Planning Area 3.2","XII Inhaúma","Higienópolis","134,349","[13]"
"Planning Area 3.2","XII Inhaúma","Inhaúma","134,349","[13]"
"Planning Area 3.2","XII Inhaúma","Maria da Graça","134,349","[13]"
"Planning Area 3.2","XII Inhaúma","Tomás Coelho","134,349","[13]"
