x,y
482,0
482,5
483,6
483,14
484,15
484,22
485,23
485,36
486,37
486,44
487,45
487,52
488,53
488,62
489,63
489,70
490,71
490,84
491,85
491,91
492,92
492,101
493,102
493,109
494,110
494,118
495,119
495,131
496,132
496,139
497,140
497,148
498,149
498,158
499,159
499,166
500,167
500,181
501,182
501,190
502,191
502,201
503,202
503,214
504,215
504,229
504,215
503,214
503,202
502,201
502,191
501,190
501,182
500,181
500,167
499,166
499,159
498,158
498,149
497,148
497,140
496,139
496,132
495,131
495,119
494,118
494,110
493,109
493,102
492,101
492,92
491,91
491,85
490,84
490,71
489,70
489,63
488,62
488,53
487,52
487,45
486,44
486,37
485,36
485,23
484,22
484,15
483,14
483,6
482,5
