x,y
503,446
503,448
504,449
504,454
506,457
506,461
508,464
508,469
510,472
510,476
512,479
512,482
514,485
514,490
516,493
516,495
518,499
518,503
520,505
520,509
522,512
522,515
524,518
524,522
525,523
525,525
526,526
526,528
528,532
528,535
530,538
530,542
534,550
534,555
538,563
538,568
540,570
540,573
542,577
542,580
544,583
544,587
546,590
546,593
548,596
548,600
550,603
550,607
552,610
552,612
554,616
554,620
556,623
556,626
558,629
558,634
560,636
560,639
561,640
561,642
562,643
562,645
564,649
564,653
566,656
566,659
568,662
568,667
570,669
570,674
571,676
570,674
570,669
568,666
568,662
566,659
566,656
564,653
564,649
563,648
563,646
562,645
562,643
560,639
560,636
558,633
558,629
556,626
556,622
554,620
554,616
553,615
552,610
550,607
550,603
548,600
548,596
546,593
546,590
544,587
544,583
542,580
542,577
540,573
540,570
538,567
538,563
536,560
536,557
534,555
534,550
530,542
530,538
528,535
528,532
526,528
526,525
524,522
524,518
522,515
522,512
520,509
520,505
518,502
518,499
516,495
516,492
514,490
514,485
512,482
512,479
510,476
510,472
508,468
508,464
506,461
506,457
504,454
504,449
503,448
