"","","","","","","","200","7","","","","","","","CASES","CASE","POP."
"REPORTING  AREAS*","JAN","FEB","MAR","DENGUAPR","E HAEMMAY","ORRHAJUN","GIC FEJUL","VER - TAUG","OTAL (DSEP","F+DHFOCT","+DSS)NOV","DEC","TOTAL","RTOTAL","ATE PER 100000","FATALITYRATE","DEC. 31, 2006"
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"ZO NE  9","48","44","69","122","301","548","478","376","219","222","186","81","2694","6","107.53","0.22","2,505,413"
"CHANTHABURI","13","13","24","70","149","220","145","147","74","73","73","32","1033","0","205.62","0.00","5 02,389"
"CHON BURI","4","0","7","8","14","34","63","22","13","13","5","1","184","2","15.22","1.09","1 ,209,290"
"RAYONG","18","18","10","23","121","266","260","192","122","109","101","38","1278","3","222.73","0.23","5 73,785"
"TRAT","13","13","28","21","17","28","10","15","10","27","7","10","199","1","90.48","0.50","2 19,949"
"NORTHEAS TERN REGION","302","264","634","944","2115","4076","3148","2482","1976","1045","449","174","17609","18","82.37","0.10","2 1,376,830"
"ZO NE  10","30","12","28","32","181","364","334","219","150","86","24","10","1470","5","41.56","0.34","3 ,537,137"
"LOEI","8","0","3","6","50","100","62","30","14","11","3","6","293","0","47.77","0.00","6 13,303"
"NONG BU A LAM PHU","3","0","6","0","11","21","19","23","20","6","2","0","111","1","22.35","0.90","4 96,692"
"NONG KHAI","7","3","6","8","49","120","115","55","33","31","8","0","435","3","48.36","0.69","8 99,580"
"UDON THA NI","12","9","13","18","71","123","138","111","83","38","11","4","631","1","41.31","0.16","1 ,527,562"
"ZONE  11","54","32","103","156","285","566","553","450","300","172","92","44","2807","1","90.10","0.04","3 ,115,406"
"KALASIN","38","21","57","67","83","205","255","260","199","134","74","29","1422","1","145.76","0.07","9 75,562"
"MUKDAHA N","6","4","8","23","31","53","71","60","27","14","6","15","318","0","94.80","0.00","3 35,447"
"NAKHON PHANOM","3","2","12","35","105","144","54","24","13","6","0","0","398","0","57.24","0.00","6 95,351"
"SAKON NA KHON","7","5","26","31","66","164","173","106","61","18","12","0","669","0","60.32","0.00","1 ,109,046"
"ZONE  12","63","62","149","179","451","777","667","590","502","224","97","35","3796","1","94.94","0.03","3 ,998,233"
"KHON KAEN","37","16","38","47","100","191","175","139","100","62","24","15","944","0","53.93","0.00","1 ,750,500"
"MAHA SAR AKHAM","1","5","12","37","115","181","145","134","100","44","15","2","791","0","84.36","0.00","9 37,686"
"ROI ET","25","41","99","95","236","405","347","317","302","118","58","18","2061","1","157.32","0.05","1 ,310,047"
"ZO NE  13","119","120","207","321","728","1522","1060","888","773","407","185","62","6392","8","97.04","0.13","6 ,586,712"
"BURI RAM","14","6","27","120","154","447","323","299","177","57","39","22","1685","2","109.65","0.12","1 ,536,722"
"CHAIYAPH UM","13","21","24","17","70","156","96","97","110","89","28","20","741","1","66.21","0.13","1 ,119,146"
"NAKHON R ATCHASIMA","31","23","24","40","120","346","235","183","172","110","53","9","1346","1","52.67","0.07","2 ,555,587"
"SURIN","61","70","132","144","384","573","406","309","314","151","65","11","2620","4","190.51","0.15","1 ,375,257"
"ZO NE  14","36","38","147","256","470","847","534","335","251","156","51","23","3144","3","75.95","0.10","4 ,139,342"
"AMNAT CHAROEN","4","0","5","15","37","75","35","36","14","16","0","0","237","0","64.24","0.00","3 68,934"
"SI SA KET","11","19","58","84","207","477","254","185","156","114","40","13","1618","3","111.86","0.19","1 ,446,484"
"UBON RAT CHATHANI","16","19","68","139","185","234","190","78","54","18","7","3","1011","0","56.70","0.00","1 ,783,035"
"YASOTHON","5","0","16","18","41","61","55","36","27","8","4","7","278","0","51.40","0.00","5 40,889"
"SOUTHE RN REGION","562","431","467","697","1576","2157","1653","1168","1020","661","557","296","11245","22","130.75","0.20","8 ,600,436"
"ZONE  15","95","69","87","166","414","483","334","235","220","110","94","45","2352","4","145.23","0.17","1 ,619,512"
"CHUMPHO N","30","12","29","75","167","216","170","136","124","57","45","29","1090","0","227.57","0.00","4 78,964"
"RANONG","10","3","10","5","5","12","20","9","8","6","9","1","98","1","54.49","1.02","1 79,850"
"SURAT THANI","55","54","48","86","242","255","144","90","88","47","40","15","1164","3","121.16","0.26","9 60,698"
"ZO NE  16","88","73","77","119","312","370","310","153","125","118","120","54","1919","3","73.21","0.16","2 ,621,231"
"NAKHON SI THAMMARAT","71","55","54","84","201","207","167","70","51","51","50","27","1088","3","72.03","0.28","1 ,510,460"
"PHATTHA LUNG","12","14","21","17","48","110","114","58","59","49","47","26","575","0","114.24","0.00","5 03,321"
"TRANG","5","4","2","18","63","53","29","25","15","18","23","1","256","0","42.14","0.00","6 07,450"
"ZONE  17","27","34","45","76","157","304","224","171","107","78","103","64","1390","5","146.39","0.36","9 49,494"
"KRABI","10","13","16","36","76","153","104","80","49","36","51","39","663","0","164.37","0.00","4 03,363"
"PHANGNGA","12","11","13","20","34","57","35","23","11","19","16","2","253","0","103.10","0.00","2 45,394"
"PHUKET","5","10","16","20","47","94","85","68","47","23","36","23","474","5","157.61","1.05","3 00,737"
"ZO NE 18","188","148","147","144","315","564","489","385","378","203","101","44","3106","4","171.49","0.13","1 ,811,153"
"NARATHIWAT","38","29","32","27","88","205","297","213","234","98","0","0","1261","3","178.32","0.24","7 07,171"
"PATTANI","95","69","80","85","156","219","83","79","59","63","61","35","1084","1","170.51","0.09","6 35,730"
"YALA","55","50","35","32","71","140","109","93","85","42","40","9","761","0","162.52","0.00","4 68,252"
"ZO NE  19","164","107","111","192","378","436","296","224","190","152","139","89","2478","6","154.97","0.24","1 ,599,046"
"SATUN","3","0","1","5","30","34","40","12","13","12","22","1","173","1","61.45","0.58","2 81,545"
"SONGKHLA","161","107","110","187","348","402","256","212","177","140","117","88","2305","5","174.95","0.22","1 ,317,501"

