"","","","","","","","2","015","","","","","","","CASE","CASE","POP."
"REPORTING  AREASJNORTH-EASTERN REGION","ANFC158","EBMC138","ARAC358","DPRC643","ENGUE MAYC1954","HEMORRJUNC3767","HAGIC FJULAC5211","EVER - TUGC7406","OTAL (DSEPOC6623","F+DHF+CTC4319","DSS)NOVDC39681","ECC663","TOTALTOC36208","TALD36","RATE PER 100,000.00POP.165.75","FATALITYRATE(%)0.10","DEC. 31,201421,845,254"
"ZONE  7Khon KaenMaha SarakhamRoi EtKalasin","2144103","174661","8319262216","16439504530","4481109617468","747206114259168","915339119272185","1166393169348256","1154399204321230","758280124205149","924334166228196","3541213976118","67512248111719661420","75110","133.85125.58116.28150.27144.18","0.100.220.090.050.00","5,043,8621,790,049960,5881,308,318984,907"
"ZONE 8BungkanNong Bua Lam Phu","1020","712","3921","7000","295219","6071550","6774034","7563622","5956227","4254323","4125124","111113","4004255215","000","72.7860.9242.25","0.000.000.00","5,501,453418,566508,864"
"Udon ThaniLoeiNong Khai","200","012","3714","31211","137833","2414153","5316670","62186103","62137110","5311097","839560","171822","375951575","000","23.88149.88111.16","0.000.000.00","1,570,300634,513517,260"
"Sakon NakhonNakhon Phanom","15","01","39","1430","9456","179145","177137","180167","10691","3564","2970","1327","831802","00","72.98112.43","0.000.00","1,138,609713,341"
"ZONE 9Nakhon RatchasimaBuri RamSurinChaiyaphum","86457925","823511432","15570241645","252106394067","745294102139210","1242556163220303","18771008188302379","30291269475651634","29701439411560560","20001094234337335","1678933195314236","66934512013569","147857194196927272895","1813122","219.74274.53124.68195.96254.61","0.120.180.050.070.07","6,728,4502,620,5171,579,2481,391,6361,137,049"
"ZONE 10Si Sa KetUbon RatchathaniYasothon","4111199","328145","8125442","157479511","46616923027","1171363547106","1742497907158","24556681206368","1904689810234","1136492455108","95440241147","52931614624","10668368748841099","11262","233.36251.64264.76203.44","0.100.050.120.18","4,571,4891,465,2131,844,669540,211"
"Amnat Charoen","2","3","4","2","20","87","128","146","103","51","48","22","616","1","164.10","0.16","375,380"
"Mukdahan","0","2","6","2","20","68","52","67","68","30","46","21","382","0","110.40","0.00","346,016"
"Southern RegionZONE 11Nakhon Si ThammaratKrabi","64134915766","46825711553","3772278739","3482517865","52732477112","1138770190239","1471895268308","1396837248279","1246697209220","1260617204152","1415696236131","8753118850","11162623119571714","12824","121.21142.83126.42375.21","0.110.130.100.23","9,208,5044,362,4671,548,028456,811"
"Phangnga","14","6","5","8","26","112","44","37","40","33","32","25","382","0","146.15","0.00","261,370"
"Phuket","22","16","26","40","28","49","98","95","88","117","149","88","816","0","215.67","0.00","378,364"
"Surat Thani","37","20","24","16","18","47","56","75","66","48","79","40","526","1","50.57","0.19","1,040,230"
"Ranong","17","12","12","12","13","60","46","28","16","12","24","12","264","1","149.08","0.38","177,089"
"Chumphon","36","35","34","32","50","73","75","75","58","51","45","8","572","0","114.27","0.00","500,575"
"ZONE 12","292","211","150","97","203","368","576","559","549","643","719","564","4931","4","101.75","0.08","4,846,037"
"Songkhla","118","80","56","34","86","161","222","248","271","293","336","255","2160","2","154.14","0.09","1,401,303"
"Satun","6","5","4","4","3","22","21","19","13","24","17","8","146","0","46.69","0.00","312,673"
"Trang","22","14","7","10","29","51","85","83","58","55","36","38","488","0","76.40","0.00","638,746"
"Phatthalung","40","27","14","13","32","57","83","59","39","37","66","68","535","0","102.80","0.00","520,419"
"Pattani","63","33","17","8","21","39","43","32","64","73","81","77","551","1","80.30","0.18","686,186"
"Yala","8","7","10","6","8","11","25","14","13","14","35","23","174","0","33.99","0.00","511,911"
"Narathiwat","35","45","42","22","24","27","97","104","91","147","148","95","877","1","113.19","0.11","774,799"

