"REPORTING  AREAS","JAN","FEB","MAR","DENGUAPR","E HEMMAY","ORRHAJUN","20GIC FEJUL","14VER - TAUG","OTAL (SEP","DF+DHOCT","F+DSS)NOV","DEC","TOTALT","OTAL","CASERATE PER 100,000.00","CASEFATALITYRATE","POP.DEC 31, 2013"
"Total","C1729","C1522","C1674","C1372","C2484","C4376","C5976","C5757","C4811","C4275","C4083","C2219","C40278","D41","POP.62.33","(%)0.10","64,621,302"
"Northern Region","111","129","163","170","431","1013","1388","1100","745","387","395","196","6228","5","52.72","0.08","11,814,261"
"ZONE 1","46","29","17","71","257","514","665","567","374","180","161","62","2943","3","51.70","0.10","5,692,131"
"Chiang Mai","16","12","3","5","26","106","195","227","197","96","55","21","959","1","57.73","0.10","1,661,264"
"Lamphun","0","2","1","3","0","4","11","5","2","0","7","2","37","0","9.14","0.00","404,971"
"Lampang","7","2","1","6","20","31","33","15","16","14","10","5","160","0","21.17","0.00","755,837"
"Phrae","4","5","2","7","22","57","106","72","31","8","10","4","328","1","71.80","0.30","456,841"
"Nan","1","0","1","27","103","165","80","57","26","3","0","2","465","0","97.32","0.00","477,793"
"Phayao","0","0","0","0","9","14","26","14","10","5","5","3","86","0","17.64","0.00","487,431"
"Chiang Rai","15","4","4","3","24","43","51","33","48","21","46","22","314","0","26.11","0.00","1,202,542"
"Mae Hong Son","3","4","5","20","53","94","163","144","44","33","28","3","594","1","242.00","0.17","245,452"
"ZONE 2","27","40","51","35","81","150","225","238","169","97","93","69","1275","1","37.04","0.08","3,442,424"
"Uttaradit","0","0","6","6","15","9","14","29","13","5","4","5","106","0","22.99","0.00","461,144"
"Tak","9","11","20","17","28","73","87","102","70","41","59","37","554","0","104.69","0.00","529,199"
"Sukhothai","10","13","14","4","21","35","51","39","44","25","9","8","273","0","45.30","0.00","602,657"
"Phitsanulok","3","11","8","1","6","7","28","29","22","21","10","6","152","0","17.77","0.00","855,374"
"Phetchabun","5","5","3","7","11","26","45","39","20","5","11","13","190","1","19.11","0.53","994,050"
"ZONE 3","40","62","99","64","97","355","510","299","209","112","152","72","2071","1","68.74","0.05","3,012,677"
"Chai Nat","2","2","4","0","4","6","12","4","7","2","11","7","61","0","18.32","0.00","332,971"
"Nakhon Sawan","12","22","39","22","35","99","117","94","77","46","63","31","657","0","61.22","0.00","1,073,245"
"Uthai Thani","3","9","7","8","9","10","35","14","19","21","33","16","184","0","55.89","0.00","329,242"
"Kamphaeng Phet","11","10","20","21","33","187","262","114","56","26","24","10","774","1","106.31","0.13","728,093"
"Phichit","12","19","29","13","16","53","84","73","50","17","21","8","395","0","71.93","0.00","549,126"
"Central Region*","895","830","886","622","821","1094","1566","1754","1770","1822","2219","1292","15571","17","70.86","0.11","21,974,787"
"Bangkok","406","313","251","168","170","212","349","408","534","627","810","476","4724","0","83.17","0.00","5,679,906"
"ZONE 4","143","113","165","113","173","187","274","338","301","267","314","171","2559","3","49.92","0.12","5,126,066"
"Nonthaburi","45","23","32","15","22","12","13","29","73","51","55","46","416","0","36.21","0.00","1,148,971"
"Pathum Thani","16","20","25","11","10","12","27","48","47","55","48","42","361","0","34.60","0.00","1,043,498"
"P.Nakhon S.Ayutthaya","25","17","27","15","20","23","34","32","42","30","56","21","342","3","42.98","0.88","795,740"
"Ang Thong","4","4","13","3","16","8","26","12","7","12","24","9","138","0","48.62","0.00","283,807"
"Lop Buri","20","29","28","41","67","79","47","103","41","74","90","31","650","0","85.75","0.00","758,015"
"Sing Buri","2","1","4","0","0","3","1","0","0","0","0","0","11","0","5.17","0.00","212,952"
"Saraburi","27","16","31","23","26","45","116","92","78","40","30","20","544","0","86.70","0.00","627,453"
"Nakhon Nayok","4","3","5","5","12","5","10","22","13","5","11","2","97","0","37.95","0.00","255,630"
"ZONE 5","157","207","216","153","188","258","374","460","492","426","596","336","3863","6","75.57","0.16","5,111,914"
"Ratchaburi","31","45","42","27","23","58","133","178","159","98","133","67","994","1","117.16","0.10","848,397"
