"REPORTING  AREAS**","JAN","FEB","MAR","DENAPR","GUE HEMAY","MORRJUN","2HAGIC FEJUL","012VER - AUG","TOTAL SEP","(DF+DHOCT","F+DSSNOV",")DEC","TOTAL","TOTAL","CASERATE PER 100,000.00","CASEFATALITYRATE","POP.DEC. 31, 2010"
"TOTAL","C1955","C2016","C2394","C3078","C4968","C8389","C10055","C9714","C8819","C9553","C9961","C5449","C76351","D82","POP.119.53","(%)0.11","63,878,267"
"CENTRAL REGION","1153","1043","1187","1355","1555","2508","3562","3928","3856","4279","4636","2398","31460","32","149.25","0.10","21,079,388"
"BANGKOK  METRO  POLIS","313","259","288","263","215","346","730","1065","1086","1697","2301","1355","9918","10","173.96","0.10","5,701,394"
"ZONE  1","71","72","56","67","64","114","222","362","394","391","438","229","2480","3","65.75","0.12","3,771,836"
"NONTHABURI","33","24","27","20","20","34","51","116","140","128","131","94","818","0","74.25","0.00","1,101,743"
"P.NAKORN S.AYUTTHAYA","10","7","4","10","14","18","26","72","104","124","157","69","615","3","78.63","0.49","782,096"
"PATHUM THANI","11","20","14","15","14","23","53","79","75","55","82","49","490","0","49.71","0.00","985,643"
"SARABURI","17","21","11","22","16","39","92","95","75","84","68","17","557","0","90.22","0.00","617,384"
"ZONE  2","77","106","134","131","96","149","277","351","374","306","179","69","2249","1","172.28","0.04","1,305,449"
"ANG THONG","13","14","12","21","11","24","26","32","46","31","27","16","273","0","95.80","0.00","284,970"
"CHAI NAT","10","26","37","29","18","19","30","22","31","38","71","50","381","1","113.75","0.26","334,934"
"LOP BURI","54","65","83","78","62","103","217","297","296","232","80","0","1567","0","207.32","0.00","755,854"
"SING BURI","0","1","2","3","5","3","4","0","1","5","1","3","28","0","13.04","0.00","214,661"
"ZONE  3","116","128","148","188","299","511","657","615","545","435","376","176","4194","3","134.31","0.07","3,122,519"
"CHACHOENGSAO","47","39","46","50","91","159","266","264","217","195","122","39","1535","1","227.77","0.07","673,933"
"NAKHON NAYOK","1","11","11","4","13","33","8","5","11","17","5","0","119","0","47.09","0.00","252,734"
"PRACHIN BURI","9","23","33","60","96","111","155","144","123","82","35","15","886","0","189.90","0.00","466,572"
"SA KAEO","15","19","31","29","46","140","149","105","101","48","15","9","707","1","129.94","0.14","544,100"
"SAMUT PRAKAN","44","36","27","45","53","68","79","97","93","93","199","113","947","1","79.90","0.11","1,185,180"
"ZONE  4","252","231","243","238","206","375","527","511","644","627","539","201","4594","4","135.72","0.09","3,384,947"
"KANCHANABURI","40","53","48","50","68","127","142","136","194","172","119","21","1170","1","139.32","0.09","839,776"
"NAKHON PATHOM","63","37","52","42","32","70","111","130","192","166","181","102","1178","1","136.94","0.08","860,246"
"RATCHABURI","106","93","97","95","87","158","225","196","213","195","147","22","1634","2","194.74","0.12","839,075"
"SUPHAN BURI","43","48","46","51","19","20","49","49","45","94","92","56","612","0","72.35","0.00","845,850"
"ZONE  5","132","100","116","134","172","277","309","277","234","332","315","82","2480","6","149.48","0.24","1,659,111"
"PHETCHABURI","29","21","23","40","52","139","114","76","52","48","49","25","668","0","143.96","0.00","464,033"
"PRACHUAP KHIRI KHAN","17","14","22","31","41","43","64","52","38","48","34","25","429","2","84.26","0.47","509,134"
"SAMUT SAKHON","71","47","63","55","67","75","109","114","128","200","206","7","1142","1","232.17","0.09","491,887"
"SAMUT SONGKHRAM","15","18","8","8","12","20","22","35","16","36","26","25","241","3","124.19","1.24","194,057"
"ZONE  9","192","147","202","334","503","736","840","747","579","491","488","286","5545","5","207.04","0.09","2,678,232"
"CHANTHABURI","25","31","34","78","174","271","243","145","81","63","55","22","1222","0","237.46","0.00","514,616"
"CHON BURI","78","54","77","102","120","123","182","212","247","227","181","76","1679","4","127.56","0.24","1,316,293"
"RAYONG","70","55","71","108","163","284","361","350","205","172","231","179","2249","1","359.03","0.04","626,402"
"TRAT","19","7","20","46","46","58","54","40","46","29","21","9","395","0","178.80","0.00","220,921"
"SOUTHERN REGION","429","518","597","820","1184","1186","1227","1149","958","1278","1920","1441","12707","16","134.65","0.13","9,437,150"
"ZONE  6","123","142","137","167","312","422","502","572","530","554","762","632","4855","8","137.83","0.16","3,522,442"
"CHUMPHON","9","25","27","31","92","88","171","159","87","80","79","64","912","0","186.14","0.00","489,964"
"NAKHON SI THAMMARAT","55","54","47","61","75","130","128","216","278","264","296","219","1823","5","119.73","0.27","1,522,561"
"PHATTHALUNG","33","33","21","33","75","85","53","42","57","83","210","192","917","0","179.97","0.00","509,534"
"SURAT THANI","26","30","42","42","70","119","150","155","108","127","177","157","1203","3","120.25","0.25","1,000,383"
"ZONE  7","142","179","314","440","517","450","395","286","180","206","278","155","3542","2","192.85","0.06","1,836,621"
"KRABI","71","91","174","253","263","193","163","124","114","113","147","65","1771","0","409.29","0.00","432,704"
"PHANGNGA","14","19","22","42","56","82","104","47","11","21","33","33","484","0","191.22","0.00","253,112"
"PHUKET","20","28","36","56","63","48","26","26","10","10","29","8","360","1","104.33","0.28","345,067"
"RANONG","7","15","53","23","20","26","26","10","9","5","7","3","204","1","111.43","0.49","183,079"
"TRANG","30","26","29","66","115","101","76","79","36","57","62","46","723","0","116.11","0.00","622,659"
"ZONE  8","164","197","146","213","355","314","330","291","248","518","880","654","4310","6","121.96","0.14","3,533,987"
"NARATHIWAT","29","40","25","13","24","30","21","37","18","42","70","55","404","0","54.80","0.00","737,162"
"PATTANI","7","15","8","13","22","22","30","30","15","33","60","28","283","0","43.19","0.00","655,259"
"SATUN","37","35","39","45","65","38","27","27","17","32","43","17","422","1","142.01","0.24","297,163"
"SONGKHLA","85","101","64","128","224","208","232","168","170","360","651","515","2906","5","214.15","0.17","1,357,023"
"YALA","6","6","10","14","20","16","20","29","28","51","56","39","295","0","60.53","0.00","487,380"

